报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2007-06-30,
货币资金(万元),1401935,1542781,1450012,1373495,1389249,1801088,1380775,1624144,1766006,1737752,1943152,1953896,2615343,1554167,988039,921344,738350,730415,696452,551446,630122,626862,746447,688702,908599,960738,980035,1029140,1120209,1272553,1382210,897693,897949,1273476,756936,689200,--,913607,721235,700682,
结算备付金(万元),228590,208488,217873,239355,232405,227165,309130,333276,298943,318373,757983,418470,354843,348516,340326,109659,75118,67175,55628,59096,48198,51556,39608,33772,29020,40110,60962,38630,31147,40001,167352,49276,36094,88305,49240,49880,--,241604,244940,156244,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,0,--,0,
交易性金融资产(万元),2143075,2088141,1497127,1658354,1353412,1449897,1085232,987565,540071,596042,202414,312646,475347,89285,31260,101608,31999,34333,24556,13291,3796,183609,193053,128900,121888,60048,43330,9111,24725,20993,37705,40737,13580,15543,19521,0,--,193,14500,0,
衍生金融资产(万元),--,--,114,--,--,--,--,--,--,--,--,--,--,-2,--,--,--,--,--,--,--,--,--,--,--,10,--,--,-37,16,--,0,0,0,--,0,--,0,--,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,0,--,0,
应收账款(万元),17495,22838,31679,21364,21623,17935,32903,7262,8471,16429,26123,47335,46574,124747,127254,127909,133954,182538,185776,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,3908,0,--,0,--,5819,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,0,--,0,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,
应收利息(万元),49451,51754,37369,42309,44816,49388,34341,29040,17848,23337,13247,20080,16556,14853,12491,11401,10258,12330,9456,6984,5645,7331,6140,4190,4989,3708,5680,2403,2147,1616,938,542,596,654,344,366,--,345,560,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,1,0,--,0,--,0,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,0,--,0,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,
应收保证金(万元),433020,393838,409900,374435,298334,300326,206758,238528,194687,195034,198858,200444,307089,260647,200039,197802,177465,181485,154279,94761,77357,68624,66047,74139,81742,75006,67862,68523,67325,61480,55107,46209,41968,27411,7839,9586,--,7183,65409,5381,
