报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),76914,53562,37026,128812,74356,128127,195052,40923,19046,18214,23528,34594,49186,19520,36007,39689,57195,56017,47718,56686,61563,66686,62216,59846,60290,58582,63728,70616,87921,93195,109003,10487,12666,8954,7409,2567,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收票据(万元),3563,3627,5187,7964,7381,5149,4347,4883,4284,4239,2305,4681,3649,5790,3585,6677,7886,7672,7610,6776,5976,6155,5741,6336,4430,5982,5284,3610,4597,3338,1650,894,2288,2061,841,627,
应收账款(万元),42247,42358,45564,40537,38513,44415,55291,59043,51926,58084,60528,57895,52173,47185,43550,46324,36578,37249,20911,21818,22374,19204,16558,11669,13074,12084,11828,7086,8076,6680,4387,4075,3509,2585,1202,1708,
预付款项(万元),22311,13792,14820,9213,13463,14164,14534,10588,24140,27612,29755,31111,35086,34158,21459,19537,14799,14121,11285,10949,2466,3518,3686,2963,2991,3499,3310,1835,2704,1902,2576,2262,1897,1610,882,505,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收利息(万元),--,435,905,229,184,237,--,--,--,--,--,--,32,15,579,403,367,186,455,336,366,235,1733,1596,1458,1207,1950,1443,1044,546,--,0,0,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
其他应收款(万元),1954,1653,1709,1141,679,1285,1253,1357,472,1368,856,1975,1240,2084,873,778,1135,1792,1158,696,696,806,7656,8081,8886,8883,15102,14953,569,446,293,299,278,569,382,151,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
存货(万元),51749,47653,46596,46200,44546,39342,39448,36593,42817,39514,42089,39549,33763,30484,33286,30071,28792,26977,22944,20709,20873,19407,18966,17314,20849,20429,21703,20843,17141,16002,15175,12968,9879,8139,6431,5936,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
其他流动资产(万元),59587,99576,102621,39833,91698,68571,13449,8099,17801,15342,17844,14698,15442,9935,18557,12488,565,1283,458,563,414,90,78,19,108,38,29,37,27,28,31,39,52,24,16,--,
