报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),44215,44713,8964,9761,23859,16168,11165,15638,25227,14422,16280,19840,27226,14904,18192,16722,13115,15643,24351,24313,26295,25738,27946,32168,40166,43686,43400,42017,49178,50731,59124,58471,10710,9336,8701,8113,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,11,--,--,--,--,266,8,8,52,210,803,1418,1451,1287,705,541,109,0,285,715,518,539,295,450,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),120,32,50,347,128,95,723,908,388,294,300,394,35,14,115,110,287,357,364,103,--,28,612,362,349,166,135,35,166,320,--,25,107,100,50,60,
应收账款(万元),26136,34308,31846,31825,28380,34137,27998,31121,28729,28220,29650,31165,23371,32227,26222,28487,21417,22874,20423,27805,19604,20362,22197,22294,15944,20231,17717,20533,17839,19758,17299,21069,16225,17239,20128,19944,
预付款项(万元),9657,17413,16100,6541,5569,6730,9373,5335,4828,4485,8847,5237,2742,4386,5035,6723,5400,3934,5198,3465,2675,2924,4331,14461,13497,7894,2214,1739,4082,2627,3165,4583,2204,1350,5381,5111,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),85,260,244,86,70,287,218,108,68,143,177,88,56,18,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,
应收股利(万元),253,--,--,728,600,--,--,55,72,--,--,--,72,--,--,--,72,--,--,--,72,--,--,0,72,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),3616,14011,4873,4387,2760,4104,4449,4172,3758,4225,24961,17873,15858,10593,9106,7811,5240,5216,4873,5262,5481,5198,6214,5270,4129,4192,4936,4236,3325,3442,3249,3439,3678,3565,3430,4687,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
