报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),18118,34978,21194,28632,38224,40139,26403,27329,37892,68447,16954,11872,18160,20325,19347,19450,25071,12459,--,9700,9666,6396,3401,1868,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,2100,2711,2711,2711,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),43364,52137,53240,47475,42485,36303,45629,35304,25691,14690,9551,8844,5941,6105,4334,5261,4185,4344,--,4711,3669,2336,1785,399,
预付款项(万元),3604,1742,4544,6807,6080,3723,4064,3417,1426,1941,1774,813,729,216,70,131,103,217,--,182,205,286,738,105,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),43,43,16,16,16,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),7381,3286,6257,5981,4891,3572,4162,3628,2576,1465,1976,1323,672,263,515,184,163,160,--,197,96,286,312,1000,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),1498,3126,3284,2194,1555,1742,746,789,651,2191,414,306,264,212,256,213,202,190,--,160,74,245,221,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),3093,5940,4062,6997,2172,1870,425,1167,3557,5032,2022,52,24,2,6002,6000,--,1,--,0,1,--,--,--,
流动资产合计(万元),77100,101253,94697,100814,98134,90076,81429,71634,71794,93766,32691,23210,25790,27123,30523,31238,29725,17371,14593,14950,13710,9549,6456,3372,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),3918,3918,3878,3878,2378,2378,1937,1937,2009,452,190,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),19467,19577,22764,22755,18728,20054,11925,8835,5960,5707,4737,181,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,10983,--,10330,--,8581,--,8028,--,7479,--,2640,--,1600,--,1339,--,1220,--,1154,957,820,304,177,
累计折旧(万元),--,6294,--,6555,--,5286,--,4623,--,4019,--,1178,--,885,--,790,--,679,--,553,441,241,87,28,
固定资产净值(万元),--,4689,--,3775,--,3295,--,3405,--,3459,--,1462,--,715,--,549,--,541,--,601,516,579,217,149,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),4122,4689,3014,3775,3809,3295,3361,3405,3373,3459,1794,1462,947,715,581,549,504,541,--,601,516,579,217,149,
在建工程(万元),118,87,270,280,482,463,441,334,219,168,465,374,348,274,144,38,98,93,--,68,66,90,266,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,--,
固定资产清理(万元),--,--,--,--,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),10174,10457,10054,10437,9858,10240,9949,9590,9650,9257,5655,5689,5702,5725,5744,5688,5705,5731,--,5744,5783,5828,--,--,
开发支出(万元),3040,2771,1018,818,889,749,625,721,743,1302,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),139037,139037,129592,129592,131141,118613,118644,118659,118687,117908,15343,3997,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),608,792,759,830,941,1030,899,835,852,890,791,773,120,99,107,91,96,117,--,90,120,442,225,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),3295,3413,2952,2683,1683,1219,1473,802,811,658,533,322,171,111,37,91,11,11,--,8,8,5,5,5,
其他非流动资产(万元),4500,141,5,1505,4046,8940,2006,1659,2650,1311,6200,8618,6500,5519,27,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),188279,184883,174306,176553,173957,166980,151260,146776,144955,141114,35707,21416,13789,12443,6641,6458,6414,6493,6511,6511,6493,6944,717,154,
资产总计(万元),265379,286136,269004,277367,272091,257056,232689,218411,216749,234880,68398,44626,39579,39566,37164,37696,36138,23865,21104,21460,20204,16493,7173,3527,
短期借款(万元),12000,17000,20700,22000,18890,10500,7500,--,--,--,200,--,--,--,--,--,--,--,--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
