报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),34846,34780,30416,30176,30420,28785,38273,20609,31780,23680,30695,15111,33573,24087,37582,26705,26033,25905,26200,20779,26828,20635,15502,23166,29594,16459,22732,17333,34898,33571,29337,26221,41380,30148,39797,40091,50288,12678,25044,6217,7248,6852,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
交易性金融资产(万元),538,1257,216,473,246,15,1,0,28,--,0,87,66,--,348,390,209,87,--,--,209,93,0,--,67,102,122,314,110,516,798,289,617,234,388,321,466,421,367,101,132,10,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
应收票据(万元),9409,12101,11173,6764,3008,4304,3936,2423,2233,4848,5282,4621,4413,4746,6807,9582,12125,7025,5096,9558,11879,7140,5143,10111,10012,9289,5140,12419,15515,14538,11769,13286,7963,3947,5206,2606,1729,308,943,1308,400,971,
应收账款(万元),108982,113221,94591,82664,85217,99450,96492,81505,79418,93164,91271,74593,65944,92727,90989,71112,61037,78030,74607,73825,61569,78974,81970,75582,64774,78928,78732,67866,54681,58096,51862,41020,35765,35017,34640,29827,23271,26761,25402,24551,15962,11714,
预付款项(万元),795,1682,6262,2132,1287,6949,3839,1107,2448,4837,1314,2405,2512,4756,2477,1511,1433,2042,6465,308,1472,3909,1328,637,1998,3342,12828,14478,9965,5870,10063,8549,5696,14922,8262,17369,7687,10264,7363,5115,3556,3227,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
应收利息(万元),--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
应收股利(万元),--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,13,--,0,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
其他应收款(万元),--,3069,2657,2567,1877,2511,2486,2167,1897,3006,3236,2818,2205,3963,3316,5222,3952,3203,5270,3281,1833,3092,3713,3993,2217,3789,3710,4662,2650,3045,2592,3569,1901,4593,3188,3281,2293,1319,2086,1418,1242,1151,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
存货(万元),54900,69846,65063,45555,36558,41089,36735,32971,32849,41286,46138,44699,44989,50511,42337,29084,34574,39001,31349,25935,41435,48127,38122,35184,40662,61223,53709,43665,45882,53482,49871,42884,36474,27937,19212,19372,18952,17749,13774,16216,30620,24936,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,0,--,0,0,--,0,--,0,--,--,--,--,--,--,--,0,--,5,14,22,--,--,--,--,--,0,--,--,--,0,--,0,15,34,93,--,--,
其他流动资产(万元),1363,2480,4501,1567,695,884,937,602,622,434,392,574,251,478,593,531,476,1027,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
流动资产合计(万元),213318,238435,214878,171898,159307,183987,182699,141384,151276,171255,178329,144906,153953,181268,184449,144137,139839,162036,148986,133686,145226,161969,145784,148687,149358,173131,176972,160737,163702,169117,156292,135818,129796,116798,110693,112867,104685,69515,75012,55020,59160,48860,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
可供出售金融资产(万元),5401,5738,5240,6056,6181,6322,6142,5931,5907,5847,5595,5740,6248,5320,6379,6808,6163,3820,3492,3321,3540,3892,3436,4030,3909,2823,3052,3117,2933,2957,3252,3801,3212,2885,2874,3840,4192,3514,3859,1518,5393,--,
