报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),119236,121394,128925,121879,92483,86181,99781,142534,150458,168630,143422,126957,164985,146949,136948,201143,186401,--,114290,98401,53346,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),20602,20430,20204,--,--,--,--,--,--,--,--,--,147,20,20,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),3238,1663,3088,1910,1175,1142,2965,330,1289,937,1077,870,728,2507,3112,2261,8996,--,5127,3750,5020,
应收账款(万元),4570,3809,1628,5025,3132,3020,2205,2759,2911,2909,2892,2966,3688,3913,3587,3521,4386,--,3082,3886,3093,
预付款项(万元),2301,1385,1014,1704,1078,774,1361,1352,923,368,2350,866,1148,626,2681,2555,2478,--,3469,4399,1865,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),36,35,22,1122,672,--,--,1015,675,--,--,4361,2667,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),921,882,1655,941,782,884,1625,749,855,828,997,820,982,1160,1262,1945,2395,--,1526,1160,2609,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),161765,159472,170401,156910,148430,144239,151443,140709,139145,135461,138259,129160,125669,123311,125559,114456,112719,--,114533,95946,77826,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,12310,15000,15000,15000,15000,--,--,--,--,--,--,--,--,12,14,--,30,--,--,
其他流动资产(万元),156890,173584,165103,141279,161509,163178,180093,111266,86458,128462,127927,80467,80958,80162,80144,--,--,--,--,--,--,
流动资产合计(万元),469558,482655,504350,445770,424261,414417,454473,400714,382714,437594,416925,346467,380972,358649,353312,325893,317390,232493,242056,207543,143759,
发放贷款及垫款(万元),3902,2872,3142,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),66763,69981,59928,61453,65031,66786,48336,47881,31631,25180,25180,76680,43680,11180,580,580,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1061,1005,1002,964,990,1005,892,830,0,--,--,--,--,--,--,--,580,--,580,580,580,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),115811,--,113552,--,113118,--,104746,--,96841,--,94325,--,88509,--,78176,--,75319,--,73966,68207,--,
累计折旧(万元),40598,--,37372,--,33775,--,30604,--,27505,--,24480,--,21681,--,18936,--,16461,--,14044,9828,--,
固定资产净值(万元),75213,--,76180,--,79343,--,74142,--,69336,--,69845,--,66828,--,59240,--,58859,--,59921,58379,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),75213,75820,76180,77895,79343,73583,74142,69054,69336,70039,69845,66122,66828,66388,59240,60222,58859,--,59921,58379,55065,
在建工程(万元),28386,26128,23677,13730,5833,8335,3791,6909,5130,3216,3731,8593,7166,5307,11152,8733,8487,--,7415,2958,477,
工程物资(万元),6,6,30,7,7,8,10,36,12,32,17,19,23,93,100,59,43,--,93,131,484,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),10977,10991,11149,11319,11817,12131,12609,13254,13609,14249,14884,15331,15266,15835,16403,16945,17178,--,18214,19371,23125,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),2008,1576,2079,1302,1258,1427,1630,865,40,43,46,8,9,10,11,--,--,--,--,112,199,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),16737,17784,15649,15286,13642,14986,14295,12929,11215,12149,11537,10246,8807,8965,8886,8659,8008,--,8346,7909,5237,
其他非流动资产(万元),47049,34172,25138,28742,28173,18475,7685,20542,20257,160,174,167,174,316,390,--,1809,--,--,--,--,
非流动资产合计(万元),252103,240335,217973,210697,206094,196736,163390,172301,151228,125068,125414,177167,141953,108095,96762,95198,94965,96949,94570,89441,85168,
资产总计(万元),721662,722990,722323,656467,630355,611153,617863,573015,533943,562662,542339,523634,522925,466744,450074,421091,412355,329442,336626,296984,228928,
短期借款(万元),--,--,--,--,10000,0,15000,15000,--,30001,30001,--,--,--,--,--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,0,--,--,--,--,--,--,34,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),11000,11000,7000,5950,4320,4350,3910,3430,6930,7610,6160,54960,70880,2990,1960,--,--,--,1395,1485,--,
应付账款(万元),10072,9183,16536,11942,8222,6460,8433,5920,6614,5351,5085,6127,7481,8438,6824,6845,10450,--,8995,9078,12271,
预收账款(万元),23734,24470,81459,33317,18179,11237,48629,16403,10084,10092,31467,13526,10279,18870,32962,15767,14168,--,37870,30315,27037,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2754,2779,6315,3508,3300,2838,5155,2798,2836,2705,4486,2179,2411,2821,5584,2858,2845,--,6189,6250,5211,
应交税费(万元),30242,27720,23448,22322,23923,21823,16362,20643,21768,19101,11440,11566,12488,11698,8769,9926,11026,--,8702,13221,15029,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,141,141,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),60569,67175,57774,62278,57378,61531,56205,52325,45223,49175,45699,39310,34049,36110,35378,34991,34009,--,40892,49230,30379,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,0,--,--,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809,--,2809,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),138370,142468,192673,139316,125321,108239,153694,119327,96264,126843,137147,130511,140397,83737,94286,73197,75308,92815,106853,109578,89927,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5618,8427,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),850,875,900,925,950,1000,1000,1000,1000,1000,1000,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),827,841,845,913,1036,1125,1079,1125,--,--,--,--,37,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2023,
非流动负债合计(万元),1677,1716,1745,1838,1986,2125,2079,2125,1000,1000,1000,0,37,0,0,0,0,--,0,5618,10451,
负债合计(万元),140047,144184,194417,141154,127307,110364,155773,121452,97264,127843,138147,130511,140433,83737,94286,73197,75308,92815,106853,115196,100378,
实收资本(或股本)(万元),125450,125450,125450,125450,125450,125450,125450,125450,125450,50180,50180,50180,50180,50180,50180,50180,50180,--,45000,45000,45000,
资本公积(万元),71709,71709,71709,74271,74271,74271,74271,74271,74271,99361,99361,99361,99361,99361,99382,99382,99382,--,22788,22788,22788,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),38093,38093,38093,30738,30738,30738,30738,25090,25090,25090,25090,20264,20264,20264,20264,12759,12759,--,12759,9628,3276,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),342657,339304,288601,281499,268850,266286,227752,222631,211081,259388,228737,222669,211867,212318,184609,184023,173368,--,148251,103952,57486,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),579938,576926,526235,514695,502417,500120,461447,450817,435893,434020,403369,392474,381672,382123,354434,346344,335688,235410,228797,181368,128550,
少数股东权益(万元),1677,1880,1671,618,631,669,643,745,786,799,823,650,820,884,1354,1551,1359,--,976,420,--,
所有者权益(或股东权益)合计(万元),581615,578806,527906,515313,503048,500789,462091,451562,436679,434819,404192,393124,382492,383007,355788,347894,337047,236627,229773,181787,128550,
负债和所有者权益(或股东权益)总计(万元),721662,722990,722323,656467,630355,611153,617863,573015,533943,562662,542339,523634,522925,466744,450074,421091,412355,329442,336626,296984,228928,		
  
