报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),56553,55826,35707,44050,40942,50614,41637,36756,47841,43527,44501,43645,45277,41760,38954,49872,42169,49703,55084,68623,65404,78761,100276,90116,95257,109037,25901,18173,26383,17524,17835,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,207,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),8534,18100,18821,8949,10093,8586,5962,4121,7063,8079,8970,8777,9860,7509,7837,6054,7367,9390,6787,3882,3883,2822,489,321,406,150,1125,794,83,77,115,
应收账款(万元),67510,72432,67467,65686,62164,63592,64752,58440,54774,62312,58152,50298,43931,45414,41445,37448,33039,26454,34499,29821,24158,21755,18745,19920,16691,12904,13397,11607,6606,6893,6030,
预付款项(万元),33300,11558,20789,14142,27718,10171,11839,7156,12943,7331,11472,8396,13250,9797,10776,10130,14068,8198,14011,11333,12570,5586,13205,7820,7385,6658,8752,11963,5436,5495,2343,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,1,4,16,28,85,73,232,114,272,300,153,1213,885,770,296,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),2828,3057,2941,3335,3838,3364,3499,4137,3799,3293,3885,3727,4146,2654,3302,2078,1322,948,2134,1564,1546,834,2193,1699,1088,930,879,638,740,4815,2737,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),95183,78357,85195,82867,77382,70930,72971,70890,64170,53557,63614,59689,55296,52141,53689,46710,46247,42006,39158,40271,39509,37268,35366,36228,37008,32144,33001,30545,24031,15971,17135,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1607,1339,2021,2093,1723,1831,565,1408,1530,3052,1963,2770,3348,3481,3254,2952,3001,2990,2091,2064,1492,1555,--,--,--,--,--,--,--,733,--,
流动资产合计(万元),265515,240668,232943,221122,223861,209089,201225,182907,192121,181151,192557,177306,175126,162784,159342,155316,147446,140010,154036,157858,148716,149793,171160,156874,158133,161823,83053,73719,63279,51506,46195,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
