报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),26971,61171,28153,33041,26190,22245,22268,33043,42188,21848,20361,28127,22389,26285,22043,23802,34319,57641,21432,21641,35717,28350,24479,45131,17575,42263,32339,40445,32476,39000,15503,35044,21163,17848,14569,12900,32426,36554,31678,39240,44708,43570,50051,46072,40711,50394,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
交易性金融资产(万元),346,349,511,391,400,387,354,357,319,520,260,316,--,--,--,--,0,--,0,0,0,--,0,0,0,--,--,--,--,--,--,0,0,0,--,0,0,--,2017,2502,1048,4029,1998,3303,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,--,--,--,--,--,0,38,10,10,98,125,43,25,730,98,98,308,364,0,627,
应收账款(万元),737,190,515,929,583,152,496,923,883,320,2284,2195,1492,774,666,1164,589,188,9717,10085,461,502,268,384,100,--,--,--,--,58,136,81,78,211,199,469,1091,956,1053,818,1066,1031,9188,6561,7978,4760,
预付款项(万元),213,48,26,80,28,37,25,11,14,34,117,3,3,1,3,26,13,4,0,9145,0,--,52,841,622,41,41,40,62,44,658,628,668,604,1037,1149,1631,383,4547,5541,7372,5394,14215,18051,24308,25160,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,0,0,
应收股利(万元),--,--,--,7783,--,--,--,5952,--,--,--,--,--,--,--,4,0,--,0,9841,0,--,0,0,0,--,--,--,--,--,--,0,0,1852,--,0,0,--,--,--,1331,--,43,--,0,0,
其他应收款(万元),14237,14197,3182,3159,3141,3125,3561,3570,3443,3768,3970,3589,3449,3391,3468,3509,3831,3239,3055,3040,3804,3322,3369,3382,3613,3308,32982,32817,57542,57563,16489,8411,8458,8388,12212,12587,13432,14024,15723,16244,17821,17300,17405,11162,14690,23210,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
存货(万元),--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,--,--,--,--,73571,69230,68402,66815,66277,65706,65143,63638,76399,75742,66322,69460,95433,83788,70429,75219,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,0,0,
其他流动资产(万元),26466,41298,58273,50141,68386,84006,80806,69988,59381,60733,80422,82532,105182,112625,102117,114057,148320,123478,79522,78994,94506,94932,37534,7420,7642,7196,6069,5481,5991,5586,5658,5483,4395,3750,3490,4750,4853,4929,46,54,101,4635,366,330,131,127,
流动资产合计(万元),68969,117253,90661,95523,98727,109952,107510,113845,106228,87223,107415,116762,132515,143076,128298,142561,187072,184551,113726,132745,134488,127106,65703,57158,29551,52808,71429,78783,96071,102251,112014,118877,103203,99477,97794,97659,118701,120526,131487,140871,139869,145519,189008,169630,158247,179497,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
可供出售金融资产(万元),192146,184134,181296,182246,193865,177232,169488,162630,94948,93619,92110,63146,62888,62747,59058,5906,6274,6112,6560,5342,6510,6386,4811,5272,5738,5466,5545,6430,6908,6354,6605,6907,8944,8330,7437,8694,5954,3622,4263,5974,7466,11038,10998,14380,0,9029,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,0,0,
长期股权投资(万元),63986,62217,60471,60343,61430,60232,59385,40237,41086,39594,38155,38119,38752,37479,38003,89856,89109,87160,85589,85340,84894,83926,82022,82223,82260,81591,79340,78667,78301,78701,66872,65717,65514,64994,61343,61315,61296,39738,41351,39302,38314,38504,39229,34204,33989,34406,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
投资性房地产(万元),502421,464757,423566,428008,430907,435314,390471,394553,398634,395341,397199,397579,401565,405551,409538,413524,417511,421498,426330,430035,444595,448300,448438,210687,212696,214719,216690,218751,213716,215784,220011,221942,223859,225813,227865,229589,210266,211964,207192,200453,212520,212520,124461,127610,131120,219860,
固定资产原值(万元),--,34104,--,33096,--,33776,--,32853,--,32844,--,31599,--,31620,--,31729,--,31714,--,11017,--,11921,--,11860,--,11836,--,12104,--,12049,--,11855,0,11870,--,13262,--,10767,--,--,--,12970,--,67441,--,45682,
累计折旧(万元),--,13676,--,12414,--,12314,--,11972,--,11375,--,10213,--,9539,--,9136,--,8430,--,5934,--,6274,--,5956,--,5621,--,5589,--,5257,--,5018,0,4672,--,4750,--,4561,--,--,--,4551,--,22225,--,17439,
固定资产净值(万元),--,20428,--,20682,--,21462,--,20882,--,21469,--,21387,--,22081,--,22593,--,23284,--,5083,--,5647,--,5904,--,6215,--,6515,--,6792,--,6837,0,7198,--,8512,--,6206,--,--,--,8418,--,45215,--,28243,
固定资产减值准备(万元),--,70,--,70,--,70,--,70,--,70,--,70,--,70,--,70,--,70,--,860,--,900,--,900,--,900,--,900,--,900,--,900,0,900,--,900,--,959,--,--,--,386,--,328,--,328,
固定资产(万元),20057,20358,20426,20611,21064,21391,20503,20812,21139,21399,21578,21316,21664,22011,22187,22522,22865,23214,4065,4223,4588,4747,4902,5003,5148,5314,5445,5615,5708,5891,5799,5937,6115,6297,6654,7611,5006,5247,8436,16580,14252,8032,51923,44888,42453,27915,
在建工程(万元),--,--,--,103,1445,1179,33661,32742,31577,36890,31370,31283,26029,18015,7345,4143,1444,400,85,39,27,--,2465,1138,733,367,9,--,9,--,25341,15060,12433,11739,11621,11563,29340,27074,18665,11296,3530,1909,3424,3110,4403,2850,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,-6,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,0,0,
无形资产(万元),9327,9502,9677,9852,10028,10203,27744,28037,28329,28622,30786,28895,29098,29301,29503,29706,29909,30056,18816,--,0,--,0,--,0,--,--,0,0,0,0,0,0,3,7,11,14,17,21,226,250,250,83187,81658,82230,1787,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,0,0,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,8304,4833,4833,0,
长期待摊费用(万元),131,131,128,138,88,92,110,122,138,152,143,--,--,--,--,--,0,--,31,34,0,--,0,0,0,--,2,4,58,10,12,13,20,27,48,119,137,82,98,92,101,121,887,754,323,204,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
递延所得税资产(万元),2115,2204,301,311,275,329,319,317,217,400,452,454,455,618,586,588,540,576,476,485,398,432,162,189,152,248,487,1370,1982,2424,1022,771,734,825,216,234,589,586,465,465,465,465,1417,1067,1067,671,
其他非流动资产(万元),89,13215,89,89,89,89,89,89,89,89,89,30653,89,89,20089,20089,20089,20089,89,89,89,89,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,
非流动资产合计(万元),790272,756518,695954,701702,719191,706060,701768,679538,616158,616106,611881,611445,580540,575810,586309,586335,587741,589105,542041,525586,541103,543880,542849,304562,306775,307754,307567,310886,306731,309214,325710,316396,317667,318078,315241,319186,312651,288379,280539,274437,276947,272888,323872,312554,300467,296773,
资产总计(万元),859242,873771,786615,797226,817918,816012,809278,793383,722385,703330,719296,728207,713055,718886,714607,728896,774813,773656,655767,658330,675591,670986,608552,361720,336326,360562,378996,389669,402802,411465,437725,435273,420870,417555,413034,416845,431353,408904,412027,415308,416816,418407,512880,482184,458714,476270,
短期借款(万元),--,--,--,--,--,--,--,--,21000,--,21060,21060,--,--,--,--,0,--,300,300,300,500,500,4500,4500,28660,48260,49260,57260,56760,72960,80560,77060,70400,69000,68200,73200,55400,53200,51400,54400,52400,102900,99580,90300,102500,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,--,--,--,--,--,0,0,0,--,0,0,0,400,400,0,--,--,--,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
应付票据(万元),--,--,--,--,--,--,--,--,350,1250,2990,2090,--,--,--,--,0,--,0,0,0,250,450,425,292,574,387,2212,2212,1107,2864,1489,1000,624,574,705,7448,11312,8220,8296,5121,4542,9176,8112,3800,3000,
应付账款(万元),7141,8866,9327,10746,10436,10894,11839,11615,12354,14579,13020,12131,10370,9268,5558,4795,5188,5640,3145,3427,2397,2449,547,722,924,1768,1723,3345,1949,5414,10977,10520,8178,9216,4043,4690,4714,6506,4085,3955,3875,4104,9762,9212,11344,14084,
预收账款(万元),265802,279239,227382,243383,258936,274712,283301,298238,276012,278927,282944,298182,309465,323613,335467,352033,367360,381789,305780,318286,336354,341606,309987,206284,183421,186803,188987,195230,199495,204850,194419,188341,170177,174208,179080,184802,188529,191648,221055,226219,228892,234452,231568,231618,233428,232381,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
应付职工薪酬(万元),635,2182,1436,1597,613,2143,1259,1371,699,2095,1277,1091,982,1643,1676,1227,997,1239,1155,1097,1118,1205,669,803,763,1069,862,985,665,1052,808,774,508,1202,994,1035,725,1421,447,446,353,472,1327,1012,843,1420,
应交税费(万元),8837,9594,6026,5146,3711,9307,5556,7129,6924,8845,5133,6135,13695,17219,13312,9671,19761,15766,11799,8659,10369,8271,-14062,-10603,-10102,-10805,-12438,-13455,-12636,-10095,-7015,-6769,-8175,-8181,-9799,-10570,-8406,-8206,-14559,-14986,-15389,-10665,-8063,-12687,-7865,-9521,
应付利息(万元),--,--,--,--,--,--,--,--,25,--,31,31,--,--,4,24,38,38,1,1,0,1,0,13,13,64,93,97,109,96,104,126,116,120,124,108,345,136,192,217,212,104,607,94,186,157,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,--,--,--,--,--,--,0,0,0,--,0,0,--,75,191,0,--,6364,--,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,--,--,0,--,--,--,--,0,
其他应付款(万元),19742,34204,12994,12797,12817,12458,13038,12975,12819,12999,15340,14911,14758,14404,14839,14570,19704,17650,9025,8966,8960,9382,9936,3851,3704,3716,6006,5557,7653,9817,6743,16064,15583,15881,20556,19494,11605,9318,8567,8303,13792,7431,27699,15784,16088,13711,
