报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2005-12-31,2004-12-31,
货币资金(万元),16764,15268,7464,6539,9392,16546,9911,10172,11809,13495,9519,14722,20478,24645,11494,12717,12621,22117,16984,14394,20766,23776,28003,5357,6858,4727,6169,7162,5692,8641,5804,5884,5087,9637,8671,7149,7759,10397,8000,9016,8141,7081,5962,7016,11013,20606,5528,6961,8390,8320,3254,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,--,
交易性金融资产(万元),--,--,6917,6917,6917,6917,1131,1131,1131,1131,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,12,12,17,17,17,17,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,--,
应收票据(万元),23312,16223,15746,18485,26006,17844,17840,18552,15141,14166,17332,14690,7730,7353,1027,1147,837,1242,844,334,462,575,335,1084,307,1069,273,516,507,1244,899,1760,4301,1127,742,1869,954,1304,284,516,284,446,306,1601,832,1383,376,1039,571,302,332,
应收账款(万元),49421,61610,53624,52559,55921,59991,43573,39178,35859,37747,28887,26756,30434,29922,16337,17015,18971,18589,17445,13020,11431,11273,16112,14255,14855,13154,15862,15322,15671,13308,16912,16488,15949,15149,17756,16979,17036,11423,12680,10563,11866,9587,10501,8858,11710,8589,9402,9573,6653,5249,4057,
预付款项(万元),5041,3144,5272,3264,2211,2146,5357,5383,4837,1443,4897,4673,2295,1785,3598,2547,3887,1421,3574,3581,3495,1880,3396,3306,3625,2656,3965,3494,3096,3513,6315,7166,3555,2396,2204,2071,1501,1325,1548,1757,2115,2385,3182,2600,2825,2243,2642,3031,1595,1267,962,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,16,16,--,0,--,--,--,--,--,--,--,--,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,
其他应收款(万元),--,2740,2106,1550,1273,1092,930,761,771,649,1141,844,932,858,1277,771,932,960,14452,8125,481,351,479,510,280,210,229,442,331,218,218,158,166,290,291,468,145,175,425,375,318,285,1520,472,549,85,307,152,192,192,85,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,--,
存货(万元),40429,36860,45391,42758,35562,37275,36627,34331,29834,32012,32592,30019,29980,28815,22794,22083,22882,24788,22750,19204,19509,19065,18829,17617,15656,17555,17811,17852,18167,19776,18940,15499,13551,12196,10938,10498,9185,10707,10635,10327,10124,12340,13019,12320,12279,11453,9446,8053,8673,6986,3879,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,--,
