报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),143785,123733,114654,103068,124126,108777,81493,59106,55840,107861,134303,43080,56677,62956,53276,48488,79011,87494,106761,79059,86848,63322,60511,63125,65053,51962,94329,120655,18928,29436,4908,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,22854,21254,21083,--,46406,45307,46598,5720,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),66993,65390,65346,55013,46328,46931,35647,36601,37800,44372,38135,37746,33253,29337,37447,35680,26673,31015,38579,36483,40657,51877,39710,42073,53676,60775,37731,16527,9349,5035,1599,
应收账款(万元),30607,35699,35490,28479,29497,31507,24970,22554,19585,18507,22147,24954,20086,25483,24172,21264,17540,19488,19772,18599,17930,16696,19979,17926,21983,21784,21038,18300,14143,14048,12645,
预付款项(万元),15018,8957,6778,11473,10385,12065,15876,11959,12060,1652,3724,4219,3370,2421,15660,18213,8253,2827,892,891,787,681,1010,820,1406,1433,2286,1719,778,7838,699,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
