报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),23197,18003,28775,30982,13034,9984,11093,8922,15278,9630,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,
应收票据(万元),7454,4149,7053,7359,4949,3370,1330,2069,2552,4048,
应收账款(万元),48952,48137,48807,45866,32365,33072,28032,29198,27327,23097,
预付款项(万元),1029,1053,1342,973,920,583,494,1826,1643,878,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),2238,716,730,1027,617,276,719,497,896,1151,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
存货(万元),17988,17331,17499,14910,13034,9798,11197,9080,10599,10122,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1780,7670,161,170,203,110,642,557,166,--,
流动资产合计(万元),102638,97060,104368,101287,65122,57191,53507,52149,58461,48926,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,300,300,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,300,300,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),1298,1340,1318,1306,1327,1347,1388,1251,1286,--,
固定资产原值(万元),--,33023,--,31696,31086,27734,--,--,21484,19698,
累计折旧(万元),--,10937,--,9633,9592,8578,--,--,6152,4806,
固定资产净值(万元),--,22087,--,22063,21494,19156,--,--,15332,14892,
固定资产减值准备(万元),--,37,--,37,37,37,--,--,37,37,
固定资产(万元),21168,22049,21269,22025,21457,19118,19340,18640,15295,14854,
在建工程(万元),16865,4654,1818,1098,607,2884,1507,450,1645,658,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
