报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),24240,12797,20388,29299,15340,33815,28253,33625,72948,23429,23092,17983,16519,9400,11739,10243,11834,12782,9977,14952,15801,9894,8667,21411,14891,19157,44835,11306,9053,17008,21918,22139,27515,26855,23898,36783,53548,56981,7928,1824,5868,3324,4028,4143,5172,5380,29646,30635,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,400,630,826,817,1036,1025,518,1008,--,--,--,--,--,--,--,--,--,--,--,--,--,94,100,--,146,100,100,102,21,20,20,297,305,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,0,0,--,--,
应收票据(万元),1213,2168,4541,17723,6291,2889,1252,1669,--,240,80,320,725,1179,738,769,3236,3511,925,2337,1227,177,238,404,349,713,1364,2678,2460,2385,1846,1933,1891,1695,1381,388,1181,1552,951,1021,922,153,626,897,296,394,--,--,
应收账款(万元),7213,4390,2461,1244,1712,3570,3478,1624,2608,2872,2632,2812,2837,3495,522,824,1617,2461,1189,1224,895,991,1173,1281,1215,1026,1793,1433,2251,2780,3011,1873,2468,1731,1683,1226,1413,1884,1682,1393,2001,5260,4223,4147,3455,4297,2891,2907,
预付款项(万元),3711,5166,2336,2401,11277,5082,6985,2236,15527,8624,4281,3258,19950,17496,11074,5626,9112,8484,7189,4779,11518,12025,11483,9702,10334,9332,9328,5563,19507,22152,30657,29183,42453,42033,49659,51219,64604,66782,982,982,1308,1996,1509,1669,880,2063,8,8,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,0,0,--,--,
应收利息(万元),--,--,--,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,0,0,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,0,0,--,--,
其他应收款(万元),165,106,101,151,255,349,124,148,129,155,77,109,91,61,1726,114,90,90,91,376,126,122,133,279,898,104,219,456,100,107,438,104,67,86,101,59,57,53,101,76,57,636,438,460,395,749,494,460,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,0,0,--,--,
存货(万元),13930,21197,22005,26214,22244,14651,13213,13625,19962,16604,18803,15988,18923,19517,23596,16269,19780,17982,20629,18249,22079,20234,24201,15977,24994,17545,11792,8063,5817,4720,3142,3508,2942,2794,2711,3776,3740,2443,2430,2806,4471,3404,2619,4158,4582,6708,2485,2336,
