报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),416286,324804,354230,337807,398894,388208,489768,596730,302426,267244,245887,247805,195703,142342,142505,81699,42600,27742,14508,2590,3576,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),16,16,--,--,1,1,268,325,--,--,--,27,--,--,12,--,--,--,--,2,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),217378,157841,137906,156625,143543,73488,52017,44552,59382,57903,35614,50487,37196,31393,26354,38515,14649,1915,321,112,169,
应收账款(万元),193100,160184,234379,194964,140813,110880,101684,63878,39840,35732,46392,45096,49069,37740,31509,17044,15543,22637,10776,6613,6206,
预付款项(万元),4983,3210,9070,6073,6142,8677,12398,13434,1580,649,1895,2220,2123,1388,1959,1038,1120,1045,974,903,630,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),3015,6557,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),3040,3350,2638,2310,3506,1412,2967,1365,1093,979,1223,879,1251,1042,2361,527,860,1191,920,1075,1093,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),162971,161021,162710,134266,104432,85750,89097,76526,71137,65428,73538,62775,67526,60727,74977,36288,22965,23267,15258,12496,11857,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),61195,144031,148835,147259,116348,118066,12614,16898,14818,14670,12685,10867,10796,15617,11741,--,--,--,--,223,--,
流动资产合计(万元),1061985,961014,1049768,979304,913679,786481,760813,813708,490276,442606,417234,420156,363665,290249,291419,175111,97737,77797,42757,24014,23531,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),141346,165346,205334,205302,175300,18300,600,18600,18600,18600,600,600,600,600,300,300,300,300,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),112621,111118,102174,101016,71602,62083,54422,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,736271,--,637438,--,545196,--,454707,--,362444,--,296105,--,271772,255227,186218,--,--,49157,--,--,
累计折旧(万元),--,170986,--,143844,--,122638,--,106765,--,84934,--,69174,--,57801,51516,36496,--,--,5634,--,--,
固定资产净值(万元),--,565285,--,493594,--,422558,--,347942,--,277510,--,226931,--,213971,203711,149722,--,--,43522,--,--,
固定资产减值准备(万元),--,557,--,554,--,1646,--,1646,--,6,--,6,--,6,6,6,--,--,--,--,--,
固定资产(万元),571174,564727,521726,493040,445656,420912,380035,346296,289806,277504,242625,226925,213430,213965,203705,149716,105042,77185,43522,13669,13067,
在建工程(万元),47606,29637,72765,61097,49077,37273,22195,17866,13541,6458,2972,2359,1441,987,1302,7999,18846,7441,2332,1856,200,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),33869,34080,33543,33780,27774,27951,27751,27848,18692,18790,17700,11680,11750,11266,8478,8600,8746,8856,6268,2706,128,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),1688,1688,1688,1688,1688,1688,1688,1688,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),10067,9354,4907,3485,3528,3588,2533,2539,1772,1317,1109,781,875,905,920,1035,1296,192,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),12026,11282,10497,8531,4706,4029,5494,4763,1813,1772,1146,1487,1403,1297,1700,827,820,306,141,146,154,
