报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),28295,23531,31087,27559,25560,32547,44007,21283,23260,9631,17873,5109,7627,11071,15769,10491,11061,12786,17644,11742,12612,12183,18052,14199,12228,19598,26859,26740,27596,39582,4402,8884,2102,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),648,352,707,349,516,1027,1219,344,704,361,1158,354,809,1704,1120,818,21,95,621,486,517,13,3,--,20,60,520,226,52,700,760,--,--,
应收账款(万元),103138,96197,103782,94881,75219,74364,89930,79739,55585,53641,36611,37046,29865,25183,22664,26612,25060,22637,22641,20773,17962,14888,16334,11388,12315,11464,11114,9388,9728,8590,8801,7018,4182,
预付款项(万元),3894,4009,1098,5933,6807,3915,2173,6915,5055,7967,3721,4149,3760,5187,11785,3810,3545,4803,3391,3115,3668,3124,2852,1923,1703,5511,2268,2559,2921,4667,2405,3506,363,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),6249,4998,4774,5221,4582,3306,3358,11808,5094,4375,3945,4049,3944,4044,3725,3575,3385,3306,2838,4166,3637,3732,3202,1169,966,808,681,1526,1198,890,884,817,419,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),37070,39145,32082,43206,39164,29294,30665,35746,34693,26070,20269,27159,28793,27768,20415,23497,22788,23268,20511,20868,20597,19542,18023,13795,11131,10960,7304,8161,6895,6878,6001,4109,4327,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),902,2920,931,11,2315,18,30,--,9,15,--,737,939,740,761,600,600,52,279,--,--,--,--,2,2,--,--,--,--,--,--,--,--,
流动资产合计(万元),180196,171152,174476,177160,154163,144470,171380,155834,124399,102060,83578,78604,75736,75695,76240,69403,66460,66947,67926,61150,58993,53481,58467,42476,38366,48400,48745,48600,48391,61308,23254,24334,11394,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),600,600,600,600,600,600,600,600,600,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),668,672,689,784,785,807,826,768,768,616,--,--,--,--,--,--,--,--,--,--,--,--,--,8000,8060,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),3140,3226,3228,2494,2601,2726,2757,2825,2836,2216,2234,2288,2289,2325,2344,2398,2399,2435,2454,2508,2526,2545,2564,2610,2635,--,--,--,--,--,--,--,--,
固定资产原值(万元),54402,--,52617,--,33224,--,32402,--,30611,--,28663,--,27748,--,26361,--,26287,--,26276,--,21910,--,20436,--,8746,--,7216,--,3949,--,3796,3489,--,
累计折旧(万元),12188,--,10697,--,10073,--,9089,--,8140,--,7003,--,6089,--,5202,--,4484,--,3817,--,3004,--,2440,--,1080,--,738,--,604,--,479,252,--,
固定资产净值(万元),42214,--,41920,--,23151,--,23313,--,22471,--,21660,--,21659,--,21159,--,21803,--,22458,--,18906,--,17997,--,7665,--,6478,--,3345,--,3316,3237,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),42214,41380,41920,22707,23151,22877,23313,22713,22471,21820,21660,21496,21659,21185,21159,21496,21803,22147,22458,19160,18906,19030,17997,17369,7665,7360,6478,3453,3345,3273,3316,3237,2772,
在建工程(万元),920,391,286,12267,10936,9405,9292,3459,1126,956,810,397,351,1823,178,149,145,139,106,3934,3346,2966,2757,2838,13441,11669,11589,12470,9076,5606,5298,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),16764,16763,17220,17559,17634,17895,18135,18048,18584,18684,17511,18048,18236,17792,6764,6823,6849,6912,6957,7047,7055,7119,7171,6956,7003,7050,7088,7133,7182,7229,7279,1946,2031,
