报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2007-09-30,2006-12-31,2005-12-31,2004-12-31,
货币资金(万元),46275,53215,41715,47615,41865,47970,40045,41596,37794,62451,38190,31824,51913,72258,41407,36099,42907,39201,41910,40607,40998,45941,39192,45150,48937,53159,52883,55060,59657,60888,52953,49816,50111,53579,47350,45774,44984,47345,43462,13681,9869,12268,8181,2889,1290,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,
应收票据(万元),170,--,--,--,20,--,7,42,318,383,150,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,17,0,0,0,0,0,0,
应收账款(万元),48302,43595,45227,45627,46336,37823,42442,42966,40152,38168,17837,20920,22679,17220,16646,16688,17712,18730,16410,16434,15667,11777,16096,14070,12217,9968,11783,9107,7638,6419,6246,4217,3259,2919,5051,4369,4550,4309,5796,5557,5126,4633,4993,6516,6625,
预付款项(万元),6359,9278,5818,3359,3104,2322,9239,7258,3329,2636,2928,2398,2192,1465,2665,1984,755,495,991,926,659,751,779,1014,1604,1878,1813,1039,803,216,416,960,587,464,465,613,618,613,358,297,51,121,128,1163,745,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,0,0,
