报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),15554,8076,12395,19892,37066,34584,20914,26748,25654,32225,18553,15534,8582,17798,14831,31864,24944,32888,36833,41479,34885,55636,34711,31303,33675,34318,10626,28171,26872,22495,20735,31467,22124,59463,58840,57879,61614,45614,21866,16104,12377,13539,12376,15451,35077,56287,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,--,--,0,
应收票据(万元),61038,79388,71351,71639,78711,69959,63809,49350,34088,36520,48941,38082,31719,36686,46985,43094,26595,26086,36137,43032,48559,43896,72276,90449,88047,81027,81590,69994,66370,74475,48511,48487,47820,48346,23545,24291,21851,9969,11001,11115,17731,14205,41793,41344,42544,55964,
应收账款(万元),36844,54231,33474,59557,74522,100984,95416,95261,79646,55121,32485,48578,35216,25937,24779,32121,39706,37534,65545,69167,63368,61442,65281,72179,65022,57992,66931,69327,74707,75322,90953,91558,93466,84551,116656,109252,110457,112038,143251,137447,136972,141613,115249,117398,94621,56897,
预付款项(万元),2307,1546,1695,1134,1703,1519,1799,2117,1306,1753,1048,893,1263,870,523,412,521,353,549,497,553,528,603,676,792,517,614,586,539,566,2002,2432,2290,1891,2106,1391,127,96,715,323,877,228,98,267,418,286,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,1907,
其他应收款(万元),52,57,484,76,65,96,208,302,114,82,139,125,195,196,118,147,83,67,93,111,345,353,567,635,618,728,739,952,817,854,1019,1047,1143,1150,2090,1902,2126,1619,1933,1809,1719,1679,2005,2501,2953,871,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,0,0,0,0,0,--,0,
