报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),38780,73600,70163,50795,61433,85955,97160,31726,49385,52456,27790,35690,35250,52948,71999,77362,80859,94563,61503,33225,37791,34416,33883,39403,70951,18907,18598,27134,30862,31388,41760,36772,42004,54514,58183,18250,6794,6745,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,3,--,5,5,--,0,0,0,--,0,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收票据(万元),714,1944,37444,48955,104,760,264,1364,773,7363,20176,13106,9061,6198,11512,11605,7937,6849,7784,8193,8571,10842,18842,20724,18972,21821,9942,13331,11779,7825,5318,4347,2344,2899,466,1834,154,1474,
应收账款(万元),65091,72301,42050,29680,42954,38955,51659,50849,36195,33961,49545,61064,39591,26989,29761,49760,40822,31160,33494,30677,25930,23623,22183,23399,32629,22935,36864,34729,32109,30500,29210,29244,22764,20769,15437,17338,5781,6106,
预付款项(万元),438,1874,3165,3967,3894,1873,1022,544,3042,2636,1693,2012,1806,3024,4256,1809,5127,1479,2276,506,1075,1981,5427,544,3293,18471,6061,3884,4293,1787,1255,971,709,3354,467,251,803,578,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收利息(万元),--,--,--,33,--,--,--,--,--,--,0,939,188,88,565,1576,1353,77,--,0,--,0,--,--,--,40,75,77,--,39,--,389,--,0,--,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
其他应收款(万元),2569,2695,2573,2778,4167,3439,3155,4085,1982,4090,5473,4518,1653,1680,3119,4644,250,680,579,870,1106,666,485,411,343,448,383,385,448,322,248,242,609,453,1712,76,169,432,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
存货(万元),79835,76217,80836,67813,42585,39101,42115,37883,37992,38927,48998,40360,47588,43694,44273,37566,43236,34183,25640,31079,26753,21542,21297,20323,17661,13452,13111,13105,10679,11677,14018,11788,7308,7703,6684,4318,4500,3614,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
其他流动资产(万元),2271,3685,2112,26390,17810,1453,1196,2362,2990,2817,6629,23574,21130,20400,8634,12259,15728,14891,12357,10425,3899,865,1946,3416,2858,3265,1388,1071,--,--,--,--,--,0,--,0,0,--,
流动资产合计(万元),189698,232316,238343,230410,172946,171535,196570,128813,132362,142250,160308,181269,156267,155020,174120,196580,195312,183883,143633,114975,105125,93936,104063,108221,146708,99340,86423,93716,90169,83537,91809,83753,75738,89692,82949,42067,18201,18948,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
可供出售金融资产(万元),10477,10477,7201,7201,7368,4867,567,567,567,500,500,500,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,1000,--,--,--,0,--,0,0,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
长期股权投资(万元),1028,840,11714,11664,10685,10371,14090,9933,8612,8700,10207,8678,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
投资性房地产(万元),20343,20343,20343,--,--,--,--,--,--,--,0,--,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
固定资产原值(万元),--,164313,--,158676,--,147139,--,147123,--,138972,--,138218,--,121114,--,115309,--,105395,--,91084,--,64354,--,63698,--,36856,--,30960,--,26375,--,25248,--,8760,--,9455,6738,--,
累计折旧(万元),--,60490,--,55371,--,51193,--,46340,--,41029,--,35549,--,30181,--,25073,--,20124,--,15961,--,12655,--,9540,--,7310,--,5452,--,3884,--,2816,--,2267,--,2220,1447,--,
固定资产净值(万元),--,103823,--,103304,--,95946,--,100782,--,97943,--,102669,--,90932,--,90236,--,85272,--,75123,--,51699,--,54158,--,29546,--,25508,--,22491,--,22433,--,6493,--,7235,5291,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
固定资产(万元),102492,103823,106471,103304,93483,95946,98468,100782,95554,97943,100037,102669,89196,90932,90156,90236,85871,85272,73206,75123,50252,51699,52809,54158,29225,29546,28342,25508,24344,22491,22915,22433,6352,6493,7246,7235,5291,5883,
在建工程(万元),19798,20017,19885,37855,14283,12573,12405,11793,12053,11769,16050,11464,27627,25100,27081,22752,22342,15890,25392,24615,37111,37579,26193,18707,31187,12250,9798,12018,3461,2856,376,1232,9148,503,166,143,79,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,136,0,--,--,0,0,0,--,0,1,0,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
无形资产(万元),5471,5746,5920,5544,3406,3426,3572,3564,4092,4228,3629,4447,4510,4636,4461,4427,4061,4056,4077,3193,2708,2763,2432,2397,2433,2130,2121,2140,2092,2113,2118,2139,2159,2165,2173,2203,2228,1842,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,0,--,1389,1389,1389,1389,1010,1010,1010,0,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
长期待摊费用(万元),7001,5039,4921,4310,3796,3669,3798,3833,2615,2926,3372,3481,3276,3452,3478,3020,2417,2472,2663,2861,2676,2788,2705,2738,2259,2168,2197,1494,1478,1528,1140,1130,214,284,361,460,150,264,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
递延所得税资产(万元),942,596,875,1082,2042,1747,1870,1470,859,760,1402,1740,969,1053,1106,1165,805,723,673,889,512,515,533,568,395,340,230,228,112,109,105,106,197,182,145,155,16,24,
其他非流动资产(万元),9611,3218,2562,5772,31036,18121,13735,2412,5251,6634,5250,6608,6074,6486,5272,6704,8718,8718,8718,9465,5250,5250,5250,5250,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
非流动资产合计(万元),177163,170099,179892,176732,166099,150720,148504,134354,129602,133595,140447,139588,133042,133049,132942,129694,125224,118140,115739,116147,98509,100594,89921,83818,65499,46434,42688,41388,31487,30097,26654,27041,18070,9628,10092,10196,7765,8014,
资产总计(万元),366861,402416,418235,407142,339044,322255,345074,263168,261964,275845,300756,320857,289309,288069,307062,326274,320536,302023,259371,231122,203634,194530,193985,192039,212207,145774,129112,135104,121657,113634,118463,110793,93807,99320,93041,52263,25966,26961,
短期借款(万元),32758,49808,44808,49002,38000,32681,33219,39980,37129,37947,48282,78131,74692,79049,93396,110634,105420,107798,79532,46551,23035,24307,19343,10472,28783,26304,6602,10262,10051,4786,9389,2667,1671,2613,2585,12184,500,1000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应付票据(万元),--,23452,31615,13962,26548,16298,21097,14358,22098,31625,31976,29310,17109,11303,14777,15926,10158,9118,6193,11512,6840,8669,11370,10477,9624,9333,10603,7727,5628,2518,--,--,--,0,--,0,0,1128,
应付账款(万元),--,81681,97762,102438,49949,49466,68061,56780,51456,56352,66993,61399,42716,44614,43361,42778,47434,32023,26232,27370,31023,26191,25546,35252,38497,30733,29508,37059,29510,30232,30543,31326,19217,20693,15711,19381,9850,10183,
预收账款(万元),3063,3472,2033,2071,3080,2321,2328,2787,2016,1252,2726,3407,2478,1511,3620,1981,1854,371,688,450,936,889,1527,594,2593,1544,1454,256,60,537,128,126,253,352,309,568,310,17,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应付职工薪酬(万元),5290,4882,3987,3908,4530,4987,4047,5435,4677,4685,4128,3638,3700,3403,2858,2720,2377,2939,2128,2103,1253,1474,1677,1830,1236,1034,1053,1108,854,951,993,1273,568,343,341,278,189,194,
应交税费(万元),3013,2584,2625,2535,304,1237,1347,1082,1356,1425,1571,1385,1375,1552,1670,1949,1962,2998,1220,1336,1046,576,717,814,953,578,414,662,579,416,297,385,409,455,431,387,182,66,
应付利息(万元),--,159,103,86,44,34,44,47,104,56,92,653,1021,914,1048,1658,1474,804,308,144,43,84,30,13,--,48,129,103,--,--,--,--,--,0,--,0,0,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
其他应付款(万元),3730,4318,4734,4706,2437,2565,5013,5064,4820,4265,6287,6254,6974,6148,5637,5588,197,697,499,557,426,363,299,449,528,372,278,270,247,95,420,148,133,152,147,67,46,82,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,800,800,1700,1700,1800,1800,--,0,--,--,--,--,--,--,--,--,--,--,--,0,425,615,0,500,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,7,0,--,--,0,0,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
流动负债合计(万元),137208,170358,187667,178709,124893,109589,135157,125532,123657,137614,162055,184177,150064,148493,167166,184034,172576,158448,118600,91823,64603,62553,60510,59901,82214,69947,50041,57447,46930,39535,41770,35925,22250,24607,19948,33479,11078,13170,
长期借款(万元),13550,13550,14000,14000,--,--,--,--,--,--,0,--,--,0,0,0,0,0,800,800,3100,430,500,--,--,--,--,--,--,--,--,--,--,0,--,0,1375,2135,
