报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),474521,568999,504596,472361,471433,475223,475588,476388,379951,400314,404921,357266,380233,437657,421930,252942,272037,261263,222471,208985,190195,141867,109258,150782,161421,215453,127451,145325,174912,168153,131639,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),51427,48062,67794,49672,45291,42543,39131,--,--,334,--,--,16,183,--,146,38,--,5,220,21,6,28,--,36,10,65,10,117,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),5191,1551,6415,3282,2636,2236,2749,1482,2139,2562,2139,1722,3706,1099,3906,1243,2146,286,3812,363,1968,1658,1496,1559,515,872,--,--,50,--,--,
应收账款(万元),470986,381853,585193,505418,431673,410074,475386,491681,363818,319386,347267,466791,418322,314169,352148,327176,274080,274542,319223,290816,249769,263399,368405,254128,230707,226048,249572,273099,303903,301290,229926,
预付款项(万元),2530,2655,2349,3647,3312,662,1186,1031,1595,470,576,1074,1521,1442,1620,1912,964,418,468,407,579,832,398,3652,1518,4529,1419,1543,1771,905,753,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),9842,10145,8997,8070,5811,7135,4156,7063,6727,6262,9066,4589,5056,3351,4691,7440,5725,4068,5088,3461,3160,6551,2799,4332,2776,3037,3626,6458,3323,3295,4712,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),354361,339396,331761,385669,256883,246665,280543,320520,229043,243183,252112,279684,241910,259410,187995,185964,166095,147077,156106,180326,137694,139772,172935,175286,139649,126852,138193,152150,157838,119808,103027,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),26017,20236,19268,19495,14307,11386,12678,7325,6890,7488,10160,11804,12270,10388,10465,8948,5976,5834,6111,5531,29649,66300,39211,32581,39191,3581,3736,2072,1470,1137,1358,
流动资产合计(万元),1394912,1372898,1526373,1447614,1231346,1195923,1291418,1305490,990163,979998,1026241,1122930,1063035,1027698,982755,785772,727061,693487,713284,690109,613035,620385,694531,622321,575814,580381,524062,580657,643385,594588,471415,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),4517,2337,2259,2299,2338,2844,2689,426,--,--,--,--,--,1963,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),476839,--,474805,--,466090,--,477381,--,479045,--,455699,--,440296,--,411228,--,321848,--,324143,--,312175,--,311707,--,283934,--,275916,279623,322354,326944,328111,
累计折旧(万元),336384,--,323753,--,304909,--,296914,--,284054,--,253355,--,244399,--,225484,--,221696,--,215943,--,208258,--,203305,--,192774,--,188490,189333,204441,212189,188034,
固定资产净值(万元),140455,--,151051,--,161181,--,180466,--,194991,--,202344,--,195897,--,185744,--,100152,--,108200,--,103916,--,108401,--,91160,--,87426,90291,117914,114756,140077,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,103,156,351,
固定资产(万元),140455,145092,151051,158077,161181,170966,180466,187861,194991,203700,202344,211027,195897,197771,185744,108121,100152,104681,108200,109429,103916,106198,108401,97385,91160,87501,87426,90291,117811,114600,139726,
在建工程(万元),19120,6857,3855,2390,3792,2556,2106,4654,2719,1748,3035,4173,16681,6824,15260,65748,45429,26835,10775,4917,3450,2764,3011,6888,9295,1929,1648,1164,2264,4674,3049,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),2965,2853,2738,2969,2981,3039,3119,3091,3187,3153,3026,2838,2940,3082,2895,2762,2709,2738,2736,2875,2966,3015,3095,2417,2511,2667,2830,3960,4573,6044,6316,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),23879,24435,25358,26592,27762,28903,29477,34148,35447,36976,37664,35264,32714,31080,29484,11934,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),26911,26015,23246,23769,24350,27037,29574,32801,32091,32466,29225,23690,18352,14945,10849,6257,5496,5073,4908,4366,4357,4160,4231,3034,2843,2728,4065,4863,4449,5540,6268,
其他非流动资产(万元),12362,3723,1459,2508,3023,1766,1628,3061,2643,1737,1609,1871,10144,9424,6371,15890,20095,1114,7937,308,305,289,334,--,193,116,196,523,561,228,1030,
非流动资产合计(万元),230209,211312,209966,218605,225428,237113,249059,266043,271079,279780,276903,278863,276728,265089,250603,210713,173882,140441,134556,121895,114994,116427,119072,109723,106002,94941,96165,100800,129658,131086,156390,
资产总计(万元),1625122,1584210,1736339,1666218,1456774,1433036,1540477,1571532,1261242,1259778,1303143,1401793,1339763,1292788,1233357,996485,900942,833928,847840,812004,728029,736812,813602,732045,681815,675322,620227,681457,773043,725674,627806,
