报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),34453,29927,28107,30334,45208,18562,22787,31939,10671,8784,15187,12565,21671,25646,27193,34504,23507,25318,27578,29573,29060,30021,32867,35311,31096,32740,35543,38779,34379,35629,40239,43301,39860,42180,4063,4961,3288,4862,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收账款(万元),56228,49451,35018,28895,36230,30862,28636,29069,45224,36604,30793,28003,26250,21808,18731,17454,12530,11231,10366,9147,10261,9314,8274,6752,9567,8956,7594,6257,8670,7635,6186,4762,5836,5552,4165,3184,2046,962,
预付款项(万元),19323,17694,18911,14831,20461,16417,16388,13131,17364,14738,11553,7078,8055,8633,8521,4599,1281,1075,1029,808,859,860,941,710,762,755,851,481,593,528,208,63,68,11,11,3,188,35,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),--,42,16,16,--,--,--,--,--,--,--,--,75,84,126,142,149,169,166,95,472,288,200,--,494,263,230,--,--,--,--,--,--,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),4667,4407,4006,3340,4332,1945,1633,1773,2011,1580,2442,1232,6864,3016,3821,2416,1106,883,999,836,1113,792,708,636,539,544,913,407,669,669,601,460,362,236,252,158,156,138,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),14843,13953,16270,15492,15633,13158,12122,10509,8846,9621,5198,4115,5839,4846,4252,3356,1386,1465,1344,1334,1253,1250,1208,1147,908,758,516,441,590,750,527,125,83,86,122,97,36,46,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,7,--,50,4,--,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他流动资产(万元),16985,24387,24153,32684,7970,8022,8731,8733,6432,5103,3843,14808,1402,1208,919,720,374,486,73,33,326,500,602,129,278,324,492,123,330,538,531,29,53,35,40,13,17,14,
流动资产合计(万元),146499,139863,126487,125593,129884,88970,90297,95164,90549,76430,69018,67800,70157,65240,63562,63221,40333,40628,41557,41826,43343,43024,44800,44684,43645,44340,46139,46488,45232,45748,48293,48740,46262,48100,8653,8416,5732,6056,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
可供出售金融资产(万元),3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期股权投资(万元),55410,56411,58688,60727,60572,21335,19594,19360,19233,19321,18339,18339,3588,3291,3470,2610,2435,2473,2490,2490,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
投资性房地产(万元),3736,3765,3794,3823,3852,3881,3910,3939,3968,3997,4026,4055,4084,4113,4142,4171,4199,4228,4257,4286,4315,4344,4373,4402,4431,4460,4489,4518,4547,4576,4605,4634,4663,4692,4582,4610,4722,0,
固定资产原值(万元),--,3527,--,3305,--,2987,--,2871,--,2784,--,2558,--,2155,--,2040,--,1422,--,1370,--,1344,--,1198,--,1086,--,922,--,801,--,660,--,502,0,481,429,0,
累计折旧(万元),--,2134,--,1956,--,1860,--,1744,--,1646,--,1501,--,1350,--,1204,--,845,--,769,--,680,--,586,--,493,--,405,--,334,--,274,--,250,0,213,143,0,
固定资产净值(万元),--,1393,--,1349,--,1127,--,1127,--,1138,--,1057,--,805,--,836,--,577,--,601,--,664,--,612,--,593,--,517,--,467,--,386,--,252,0,269,286,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产(万元),1376,1393,1295,1349,1171,1127,1136,1127,1127,1138,1016,1057,807,805,786,836,558,577,591,601,631,664,652,612,620,593,602,517,451,467,433,386,306,252,256,269,286,85,
在建工程(万元),--,--,--,--,50,50,50,50,50,50,50,--,--,--,77,74,74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
无形资产(万元),5409,5928,5750,6301,5734,5867,6385,6890,7418,7083,7568,8059,7189,7606,8027,7862,2247,2408,2567,2725,1442,1517,1166,1230,1276,819,151,52,55,37,39,3,4,3,4,3,2,2,
开发支出(万元),544,375,960,782,1365,1479,1280,1030,707,1272,886,663,2491,1962,1433,1447,2710,2237,1719,1268,2257,1815,1866,1593,1306,1518,1338,1279,740,469,313,206,106,0,0,0,0,0,
商誉(万元),15562,15562,15562,15562,15562,15562,15562,15562,15562,15562,15562,15415,15415,15415,15268,15268,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
