报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),63129,57808,59658,41093,66089,47479,54263,17567,8571,16448,29122,21887,6990,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),39760,41133,45995,39470,41458,32141,31895,30044,27661,21714,18519,4688,--,
应收账款(万元),169236,138981,122069,122888,112669,113419,104844,103776,102351,81707,59588,41686,24956,
预付款项(万元),9844,10787,5057,4984,6321,3275,5328,2662,3253,2403,2402,897,1704,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),16988,15440,9682,9934,13422,8315,5744,4317,4707,3313,2152,671,1964,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),8944,7723,8271,7093,6809,5698,6735,6669,6413,6088,5445,4819,3057,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),8500,--,--,4000,9000,--,--,673,648,573,518,169,456,
流动资产合计(万元),316401,271872,250731,229463,255769,210327,208809,165708,153603,132245,117745,74818,39128,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),29770,29770,29770,1770,1405,1405,1280,1280,780,780,280,280,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),22579,22373,22235,22130,690,690,0,0,0,--,--,--,280,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),2030,2057,2084,2111,25041,25268,--,--,--,--,--,--,--,
固定资产原值(万元),--,6598,--,6700,--,6668,--,6412,6304,6268,--,--,--,
累计折旧(万元),--,2247,--,2073,--,1839,--,1648,1557,1277,--,--,--,
固定资产净值(万元),--,4351,--,4627,--,4828,--,4763,4747,4991,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),4917,4351,4530,4627,4734,4828,4670,4763,4747,4991,4452,4636,4921,
在建工程(万元),5695,4852,4482,3525,1233,217,181,181,76,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),23580,23646,23661,23827,879,799,805,809,814,828,966,160,42,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),472,481,502,523,544,569,601,621,642,739,364,483,330,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),3134,2932,2641,2636,3910,3737,3426,3413,3392,2466,1505,893,609,
其他非流动资产(万元),1183,1183,1183,1183,700,200,200,200,200,200,56,890,80,
非流动资产合计(万元),93360,91643,91088,62331,39137,37713,11163,11267,10651,10005,7623,7341,6262,
资产总计(万元),409761,363515,341819,291794,294906,248041,219971,176975,164253,142250,125368,82158,45390,
短期借款(万元),194000,176000,182000,123500,124500,80000,56000,55000,55000,33000,29000,8000,3940,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
