报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),140749,140112,109553,123101,86061,68071,104623,93720,57421,40680,36935,38888,39098,34811,48624,67186,53198,59837,48237,42981,42964,49427,63811,62421,79890,82472,80122,92519,84548,95787,104584,159926,147293,43015,45269,94460,33499,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,88,91,97,97,99,109,119,112,102,103,138,102,310,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收票据(万元),43350,34348,21093,25849,25478,19049,22807,16622,13497,9775,12318,10152,8053,9355,10006,17198,9215,12522,10896,14485,14457,10570,4961,14926,9072,10261,5645,7334,8171,1761,7067,4228,4639,5078,1136,4746,2797,
应收账款(万元),91978,72467,62359,50513,65500,63057,46152,44386,51021,51679,57537,56853,56197,52080,58595,45272,61246,61475,68021,61663,65826,57800,54780,36566,49551,47859,54431,40307,45319,41034,36885,42706,52285,45069,40748,35437,8266,
预付款项(万元),20033,15911,13891,16418,10068,8827,5614,6546,5847,3198,2410,3459,8650,6613,5446,4361,9328,8164,10712,13637,20340,17560,19202,17840,8054,10637,16620,6461,15872,11715,18942,13872,17085,12239,12637,13898,4838,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
其他应收款(万元),1619,1372,2294,1039,761,655,619,519,943,739,781,813,1372,4504,393,935,473,390,5700,5470,6484,6217,471,526,1449,1370,986,920,764,575,702,640,722,716,349,517,3223,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
