报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),325690,292115,240123,289750,197529,147842,167803,194375,218761,157614,150647,114882,133861,159342,181631,118341,139066,176763,167784,187040,180436,154823,187201,150671,138757,180273,251558,296100,290077,343038,420381,480741,491881,40240,72202,42675,25696,19474,34487,56167,53726,59637,83457,154010,75335,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,
交易性金融资产(万元),1661,1034,3966,4137,123,1679,1906,92,--,66014,1589,66793,21880,13,3955,713,6,6603,609,13,1405,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,
应收票据(万元),6018,10047,6939,7640,10874,8249,8204,19108,15695,5966,4402,9601,12367,14461,8700,11099,18166,13134,10348,9051,5859,3616,2100,2250,2979,3643,1742,5692,6471,4763,523,82,1252,930,3460,17923,15588,0,0,0,0,0,0,0,0,
应收账款(万元),40032,54476,25709,27111,27763,32314,34551,42625,32219,47622,51723,42580,50619,89405,135159,117906,133836,87402,113993,83034,48975,39171,58646,76485,105159,36352,29367,19402,19881,28579,12472,10597,16684,8380,13277,7348,1287,19752,27792,1399,3971,1460,1517,2180,5845,
预付款项(万元),15337,20749,20944,27263,21524,39900,37749,41606,25002,32914,34145,49879,58101,76898,78601,43125,29660,45153,55285,58958,33204,46528,31858,26244,17972,34755,25838,24025,9932,40465,39371,33892,14779,15720,16213,17847,6404,5373,4930,3233,133,135,-3266,1510,485,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,
