报告日期,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),3178,7669,11028,14178,5939,3477,8622,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),2260,3025,2077,72,329,262,--,
应收账款(万元),20125,19486,20609,25839,22531,15282,9821,
预付款项(万元),1491,1183,1067,531,360,207,268,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),517,378,492,385,301,664,1503,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),10265,8458,11095,8195,10067,9582,4423,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),--,1111,533,344,485,800,798,
流动资产合计(万元),37836,41310,46902,49543,40012,30274,25436,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),--,25002,18533,--,--,--,--,
累计折旧(万元),--,8754,7407,--,--,--,--,
固定资产净值(万元),--,16248,11125,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),19305,16248,11125,10594,10347,9554,6599,
在建工程(万元),10928,12727,11091,7061,2237,21,266,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),2893,2894,2935,2985,3020,375,367,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),943,914,724,680,557,342,3,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),242,252,242,228,193,201,126,
其他非流动资产(万元),--,127,62,250,--,--,--,
非流动资产合计(万元),34311,33161,26179,21799,16353,10493,7360,
资产总计(万元),72146,74471,73081,71342,56366,40767,32796,
短期借款(万元),11200,11200,13500,14476,12227,10195,7608,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),500,500,--,842,1293,2405,500,
应付账款(万元),3647,5516,4986,6092,4587,3077,3433,
预收账款(万元),--,15,15,9,14,126,157,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),968,845,965,663,442,406,287,
