报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),129097,237150,282027,268844,369072,461350,457782,408499,393481,275336,175457,178882,103102,156309,45100,40016,37587,105351,62790,68426,65965,65723,60658,60120,65171,87501,44108,58927,80262,84796,87249,78285,113548,6830,6947,7198,822,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
交易性金融资产(万元),68,74,119,678,557,637,616,739,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收票据(万元),3574,5846,3946,4054,1435,53,1899,7901,10866,10874,29488,29463,8132,--,1782,1782,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收账款(万元),93074,77803,41454,40553,52961,59903,48253,46890,70808,65176,34427,22298,37484,23203,17903,15423,6850,4286,5265,6040,4631,4927,1930,6413,7206,5107,5959,4746,6194,3422,2498,2768,2032,2000,2026,792,2166,
预付款项(万元),81268,98102,64053,77741,56702,71876,49573,29719,46821,46966,45454,36193,24863,19407,11903,9250,8258,5154,15896,5279,14343,11493,10275,8030,14797,15167,14377,6716,8177,8321,9857,6583,6014,2803,2808,3597,2925,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收利息(万元),--,27374,19501,13381,476,195,282,754,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应收款(万元),205223,129627,85127,106311,63887,50023,40989,33390,51039,40134,39971,39395,51834,27341,2415,1889,7120,5049,4967,4829,1600,1368,1151,922,1011,675,199,525,906,301,447,515,251,115,556,863,414,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
存货(万元),161066,167136,179186,160956,139342,151739,126523,118073,119210,116829,128096,133971,165402,145501,147886,139721,151819,146658,146553,139766,140806,136331,132158,112645,101402,93807,78748,65484,47504,42940,38173,29833,25423,20427,17507,12752,8450,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
一年内到期的非流动资产(万元),--,--,--,--,354,1020,1211,1678,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动资产(万元),650689,645070,601806,535361,431379,437689,434135,359266,35333,33564,40021,37055,36001,42080,41124,39592,25901,25298,24125,23301,22092,12059,8158,7129,--,--,--,--,--,--,--,--,--,0,0,0,0,
流动资产合计(万元),1324058,1388181,1277219,1207879,1283241,1409215,1366089,1243313,800428,691327,606793,592718,426819,413841,268113,247673,237534,291796,259597,247640,249437,231900,214330,195260,189587,202257,143390,136397,143043,139780,138224,117984,147269,32175,29844,25204,14778,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
可供出售金融资产(万元),252200,251117,213592,182686,409209,288701,172675,121464,238577,184927,109427,27927,3530,3530,3530,3530,3530,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期股权投资(万元),142233,141871,181355,126447,63441,63352,64763,54985,--,--,--,--,--,--,58,68,10,3770,3770,3770,1170,1170,1170,1170,1170,1170,930,930,930,930,930,930,930,930,335,335,235,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
投资性房地产(万元),3005,3026,3046,3066,3153,287,292,298,317,322,313,318,323,328,333,327,329,333,338,343,343,254,257,260,264,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产原值(万元),--,433817,--,436058,--,186405,--,190561,--,203514,--,184155,--,283186,--,304735,--,241820,--,227117,--,145563,--,122886,--,60627,--,42156,--,37113,--,28189,--,22295,17463,0,--,
累计折旧(万元),--,84031,--,74219,--,44288,--,38270,--,36593,--,30146,--,40089,--,37337,--,28731,--,20759,--,16619,--,12424,--,8054,--,5962,--,4329,--,3265,--,2503,1932,0,--,
固定资产净值(万元),--,349786,--,361839,--,142116,--,152292,--,166921,--,154009,--,243097,--,267399,--,213089,--,206358,--,128943,--,110463,--,52573,--,36195,--,32784,--,24924,--,19792,15531,0,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
固定资产(万元),363235,349786,270801,361839,138578,142116,145142,152292,231637,166921,167463,154009,131694,243097,266163,267399,233664,213089,209504,206358,159383,128943,113391,110463,56715,52573,48035,36195,34187,32784,26189,24924,19355,19792,15531,6374,4946,
在建工程(万元),92989,109387,74340,133964,59014,52051,46274,43788,153877,181033,153315,157735,242847,196433,168085,149866,153377,152676,138220,124847,124573,127971,121754,99630,102672,76872,54522,56533,32066,24278,25662,19854,17599,7881,6701,7512,352,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,566,527,467,404,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产清理(万元),--,--,1,--,16,--,--,--,--,--,--,--,71028,127,325,--,--,--,--,--,--,--,412,--,--,--,--,--,--,--,--,--,161,7,7,0,0,
生产性生物资产(万元),39167,40176,36949,41595,30877,30021,27031,21935,26256,26317,22002,23359,22630,24472,22190,22006,17260,16056,16762,16526,17382,18213,16819,17784,14329,14025,12262,11625,8648,6842,5373,5256,5139,4111,4193,1871,3043,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
无形资产(万元),31663,31888,30956,32519,28319,31688,31783,32021,21490,21508,20093,19610,18803,16083,14725,14268,14293,14395,14468,14616,14482,14659,14714,11384,8891,8944,8981,9033,9009,9056,8856,8860,8909,8958,6086,6407,1975,
开发支出(万元),47,47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
