报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),17737,10430,20688,35013,41762,28798,26117,29084,32953,28782,27690,21519,19475,21867,24199,31117,3235,3452,4278,5790,2661,1870,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),4977,7244,7363,5313,6758,7659,4370,4067,4465,9629,8402,6511,7859,7139,5388,3538,5189,6262,6665,6171,1252,1027,
应收账款(万元),27231,16591,21352,20192,18508,15984,17822,18035,17145,13360,15360,14265,14142,12729,13613,13257,9724,8384,5331,4530,3502,2771,
预付款项(万元),8204,2544,3851,7010,1440,635,1048,1549,2494,1348,551,595,1918,1093,2028,1591,1914,1525,529,395,929,629,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,30,--,--,--,--,--,--,--,--,--,--,8,102,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),380,321,2589,722,678,505,487,590,595,668,272,511,284,190,270,239,206,124,110,87,62,85,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),14704,9201,9902,9935,7836,7722,7531,6754,6486,5662,6248,6593,7043,6396,6177,4688,5473,4192,3459,3190,3990,2537,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1363,1322,276,21,410,478,54,60,32,350,--,0,96,--,28,28,--,--,--,15,16,25,
流动资产合计(万元),74596,47684,66021,78206,77390,61780,57430,60140,64169,59799,58523,49993,50826,49516,51705,54458,25741,23940,20372,20178,12412,8942,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1140,199,162,162,164,166,175,177,199,199,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,22990,--,18975,--,14366,--,12008,--,8371,--,8127,--,8007,--,--,7740,7698,4858,--,--,--,
累计折旧(万元),--,5188,--,4512,--,3819,--,3228,--,2863,--,2681,--,2314,--,--,1824,1651,1093,--,--,--,
固定资产净值(万元),--,17802,--,14463,--,10547,--,8780,--,5508,--,5446,--,5694,--,--,5916,6047,3765,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),19532,17802,16317,14463,10976,10547,10871,8780,5365,5508,5433,5446,5557,5694,5628,5791,5916,6047,3765,3242,2529,1836,
在建工程(万元),408,367,2959,1675,4364,3181,2204,2665,4935,3932,5009,2471,2019,1863,1527,1337,1213,822,2509,302,99,186,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),5637,5787,5897,5934,5991,4468,4455,4505,4508,4564,4537,4547,4570,4599,4568,4595,4623,4364,2968,2995,951,270,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),47084,47469,50940,40192,38241,37896,10428,10428,10428,10428,10440,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),664,701,837,704,535,666,491,457,387,465,303,441,245,350,229,223,183,166,117,94,44,35,
其他非流动资产(万元),40,40,--,--,--,1268,1497,1270,1495,1427,--,1222,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),74504,72364,77112,63129,60272,58191,30121,28282,27318,26523,25723,14126,12390,12506,11952,11945,11935,11399,9360,6632,3622,2327,
资产总计(万元),149100,120048,143133,141335,137662,119972,87551,88422,91488,86322,84246,64120,63216,62022,63657,66403,37676,35338,29731,26810,16035,11269,
短期借款(万元),21500,14790,18690,20890,22300,10000,6294,5200,1100,--,639,612,263,263,2352,1649,1958,610,--,3879,1435,1790,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,296,201,--,--,--,--,--,445,445,--,400,400,--,--,--,6,
应付账款(万元),19594,4494,5760,5585,5124,3358,5096,3301,4089,3852,3349,2529,3273,2826,2763,2508,2274,2551,3239,2734,2889,2840,
预收账款(万元),6233,727,2173,1701,975,1711,196,241,485,225,324,194,326,503,210,194,95,49,92,471,558,229,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),609,986,767,562,849,855,777,510,363,867,611,409,222,536,307,217,340,453,475,486,295,180,
应交税费(万元),276,279,202,194,591,194,615,933,735,688,737,643,235,100,344,462,463,470,419,233,-125,-26,
应付利息(万元),--,--,--,84,36,37,1,126,61,61,--,--,--,--,--,--,--,--,--,6,2,12,
应付股利(万元),--,--,--,--,95,--,--,892,--,--,--,--,--,--,--,--,--,--,--,--,148,583,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),18956,18256,36552,28058,25466,24471,4555,4596,5146,4071,788,105,170,111,55,4942,77,67,89,25,318,80,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
