报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),50064,62175,99034,60217,101095,9619,9628,7137,5723,6521,3545,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),291,--,297,--,--,--,--,--,308,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),32,186,305,153,82,97,--,--,--,14,13,
应收账款(万元),37771,35785,28539,21545,20571,18600,17874,12500,13047,9877,10764,
预付款项(万元),7264,5976,7861,4400,3805,2660,2704,2189,352,760,1431,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1939,2332,1726,2276,1903,1969,1494,2193,3197,1836,1988,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
存货(万元),27068,22234,22521,22454,18708,18726,18048,17077,14853,10805,9446,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),21985,15314,217,30168,332,1035,423,225,187,1337,348,
流动资产合计(万元),146414,144003,160498,141212,146496,52707,50172,41322,37668,31150,27535,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),6690,750,750,750,--,50,50,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,57425,--,54967,--,40711,38496,--,--,--,--,
累计折旧(万元),--,10416,--,8806,--,7466,6297,--,--,--,--,
固定资产净值(万元),--,47008,--,46161,--,33245,32199,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),47488,47008,46215,46161,34100,33245,32199,17519,17088,15687,8993,
在建工程(万元),3799,1439,696,682,7727,7227,3450,4983,102,778,1345,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),12162,12194,7412,7455,7476,7516,7569,3542,3624,3714,1955,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),609,676,774,403,1637,517,346,233,305,312,159,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),515,574,389,474,757,683,449,283,169,121,141,
其他非流动资产(万元),2100,1592,5243,1692,5989,5300,4900,6043,1403,--,741,
非流动资产合计(万元),73362,64233,61479,57618,57685,54539,48963,32603,22691,20611,13334,
