报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),114870,126951,110066,102133,45972,87234,55854,51502,48129,51206,44676,36263,31361,32113,36643,28402,26287,28962,46156,46291,67013,72607,33396,34164,21746,20320,18457,24165,33000,26929,24163,31491,21183,31598,32150,19306,27080,37458,35754,39559,47828,47541,44379,12894,17388,12507,9044,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
交易性金融资产(万元),3,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,--,14,26,26,26,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
应收票据(万元),105,1089,492,184,301,1142,1716,1922,1945,1385,301,325,290,3673,53,50,128,2718,910,4533,970,5974,5743,1034,1380,1960,1926,2632,3165,7024,3275,2965,3890,7949,1700,385,--,518,32,294,1610,2856,1000,666,4750,0,--,
应收账款(万元),20185,31189,40034,33352,31694,20897,53806,47107,35346,41264,42357,39735,35208,34677,30518,43879,32905,31717,46251,33679,32037,37516,56371,48765,60185,53466,63891,75014,79018,74125,101000,87012,94516,84680,89352,81811,62787,63049,39592,29531,26560,21893,22010,16034,12276,5788,1923,
预付款项(万元),4430,4076,7204,4835,12161,6920,7407,9022,9477,7289,23637,19348,10098,7355,15256,12994,7351,5786,4814,3613,1002,1272,8397,6752,1769,1469,10523,10127,6349,5987,9572,7083,4831,4531,7704,2493,7249,2112,22255,32028,23045,17894,17765,17547,4872,5858,5254,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
