报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),22745,12334,38039,13285,20030,13412,11575,6457,14583,13281,11327,10749,16698,12310,14678,11288,18024,21242,29624,--,6759,5201,7789,6730,3745,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2800,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),2347,3730,3491,2834,2538,2969,2927,4576,3444,2068,3283,2835,2243,1057,1491,2788,2588,2307,1352,--,1698,3583,4166,987,686,
应收账款(万元),48860,55310,47176,44820,49828,45977,50078,46031,45267,36858,39983,36033,32688,29452,27695,23899,25364,27471,26336,--,21486,16683,10107,7095,6553,
预付款项(万元),12385,13783,14175,14937,15000,15472,14518,14507,10261,17194,16708,15464,12295,14879,10297,10513,11889,9595,6892,--,7493,4331,2125,2565,2330,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),66,--,--,39,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),2652,--,--,--,--,--,--,--,--,--,--,--,--,--,379,379,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,2487,2409,2447,2121,3237,3199,3699,3097,2975,2819,1578,2007,2430,1965,1778,993,1371,1255,--,866,509,357,677,1391,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
