报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),108906,117385,94948,102089,91338,105576,173556,117501,111269,109531,131616,204799,126350,62160,63431,54871,44865,58260,32599,26682,50759,26933,20283,29675,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),18260,18400,17367,15952,15485,17216,15359,15849,14386,15602,11625,11374,10208,9051,9473,8656,6642,7453,7287,7688,3918,3278,2799,2083,
预付款项(万元),301,283,436,920,844,843,1027,1327,928,677,1002,499,486,329,388,349,--,432,433,170,351,547,145,31,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,89,
其他应收款(万元),11221,3167,4006,3330,3204,3112,3753,3394,3692,3286,3506,2413,2201,2132,2425,1953,1970,1674,1314,3742,830,1737,6496,14705,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),4210,4139,3802,3264,3371,3334,2897,3273,3323,3096,3657,3462,3367,3821,4246,4169,4368,4451,4825,5234,725,1106,469,364,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1005,906,727,769,322,247,34,68,102,136,34,56,429,466,324,361,--,381,171,132,519,383,--,35,
流动资产合计(万元),143943,144320,121286,126323,114563,130329,196627,141411,133699,132327,151441,222603,143041,77959,80287,70360,58900,72653,46629,43648,57102,33983,30192,46981,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,--,200,200,200,200,200,200,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1390,1412,1261,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,559886,--,533738,--,501048,--,449965,--,449277,--,444373,407953,408019,374786,--,--,367818,361179,--,237140,--,--,--,
累计折旧(万元),--,157182,--,147784,--,138389,--,130160,--,121832,--,113853,109921,106013,106735,--,--,97564,83028,--,69859,--,--,--,
固定资产净值(万元),--,402704,--,385954,--,362658,--,319806,--,327445,--,330520,298033,302006,268051,--,--,270255,278151,--,167281,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),404570,402704,384203,385954,358753,362658,318056,319806,323615,327445,327945,330520,298033,302006,268051,266692,--,270255,278151,198834,167281,166611,163911,155374,
在建工程(万元),234932,221628,223319,210819,228817,216852,221710,211777,196971,186577,169821,156623,175383,164447,165578,160665,--,145195,102542,149397,158963,121826,40955,38457,
工程物资(万元),1739,1892,1738,2417,2333,1922,1854,1867,1626,1703,1699,1674,1850,1768,1593,1520,--,1978,1261,1365,2095,2557,1010,1107,
固定资产清理(万元),--,--,3,2,2,--,--,--,--,--,--,--,--,--,66,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
