报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),72954,73949,79231,69357,63635,48253,37873,72648,35040,28757,22837,33541,51406,12457,11264,10858,19586,33988,6793,5596,6091,6362,6955,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,4,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),40139,54800,46954,45941,40787,45266,56457,40959,16540,23960,12711,10906,9832,11416,8915,9258,3663,5537,6039,6642,5445,1198,1074,
应收账款(万元),57659,54780,65610,69672,63904,41407,48001,38139,23111,23022,29405,26189,20907,20536,28008,20937,18135,14734,14910,14268,8899,6503,4787,
预付款项(万元),5060,3530,19100,11896,9405,19151,13244,7430,803,874,1540,664,561,179,840,1027,902,321,848,506,590,518,250,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,1261,3407,2770,4208,4877,5579,2833,5019,9555,8365,7119,4893,2966,1295,1109,935,724,1195,1101,913,750,103,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),109047,139166,144903,143122,119612,86777,64443,62962,32189,28793,27105,21903,20381,21164,19729,17066,13239,12147,12321,11522,9768,7154,4915,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),2327,3105,3748,4717,6679,2737,520,258,608,285,5099,5798,919,2206,41,49,39,36,45,28,24,23,18,
流动资产合计(万元),289774,330591,362953,347475,308440,248679,226121,225252,113310,115246,107062,106120,108900,70923,70093,60305,56500,67485,42150,39663,31730,22508,18103,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,2484,2484,2484,2484,2484,2484,2484,315,315,315,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),2468,2468,2461,2455,2450,--,--,--,14212,5052,5049,11025,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,108500,--,94120,--,71413,--,54606,--,27769,--,25368,--,22075,--,14372,--,12049,10393,9733,8853,5831,4031,
累计折旧(万元),--,26292,--,22607,--,14888,--,12772,--,6130,--,5105,--,4155,--,2722,--,2199,1979,1768,1377,759,353,
固定资产净值(万元),--,82208,--,71513,--,56525,--,41834,--,21639,--,20263,--,17919,--,11650,--,9849,8414,7965,7476,5071,3678,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,82208,75903,71513,58661,56525,42296,41834,21356,21639,21715,20263,20249,17919,11409,11650,9958,9849,8414,7965,7476,5071,3678,
在建工程(万元),--,23374,19476,17632,22796,11290,8740,8209,3970,2990,2288,1243,1400,3176,2708,2348,171,47,866,1190,423,324,118,
工程物资(万元),--,--,--,478,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),20712,20827,18044,18146,17237,15318,14848,14927,11758,11824,12437,11891,8636,7308,3789,3810,3833,3838,3859,3880,3922,2049,2090,
