报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
固定资产原值(万元),--,15761,--,15120,--,14443,--,14232,7168,5626,--,4671,
累计折旧(万元),--,4161,--,3630,--,3137,--,2657,1919,1444,--,856,
固定资产净值(万元),--,11600,--,11489,--,11306,--,11575,5249,4182,--,3815,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),11436,11600,11327,11489,11054,11306,11344,11575,5249,4182,3751,3815,
在建工程(万元),434,226,440,221,351,140,154,100,5497,4341,887,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),3124,3143,3163,3182,3199,3210,3229,3249,3323,3396,3469,772,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),56,60,64,68,72,76,64,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),164,147,112,109,110,121,101,103,94,74,55,42,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),15214,15177,15107,15070,14786,14853,14892,15027,14163,11992,8162,4629,
资产总计(万元),94338,92703,86920,84382,80621,80339,51780,49048,39800,33948,26612,21095,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,6,57,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),3522,4024,1472,1264,1874,2239,1795,930,603,1421,--,--,
应付账款(万元),5382,5460,5678,5483,4530,4988,4772,4842,3485,3309,2935,1909,
预收账款(万元),725,911,1264,827,660,581,657,404,398,557,594,402,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),720,635,574,853,716,761,550,757,637,566,458,255,
应交税费(万元),584,776,559,771,669,683,697,671,581,413,487,685,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),456,525,388,462,380,694,362,394,334,247,98,533,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),11388,12331,9935,9659,8829,9947,8833,8004,6095,6512,4572,3784,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,24,--,2,
其他非流动负债(万元),1866,1866,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),1866,1866,0,0,0,0,0,0,0,24,0,2,
负债合计(万元),13254,14197,9935,9659,8829,9947,8833,8004,6095,6536,4572,3786,
实收资本(或股本)(万元),11835,11835,5888,5888,5888,5888,4416,4416,4416,4416,3840,3200,
资本公积(万元),23644,23501,27534,27534,27534,27367,4143,4143,4143,4143,4719,5359,
减:库存股(万元),1866,1866,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),4548,4548,4548,4548,3550,3550,3550,3550,2730,2025,1412,875,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),42924,40489,39016,36754,34820,33588,30838,28935,22416,16827,12069,7875,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),81084,78506,76985,74723,71792,70393,42947,41044,33705,27412,22040,17309,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),81084,78506,76985,74723,71792,70393,42947,41044,33705,27412,22040,17309,
负债和所有者权益(或股东权益)总计(万元),94338,92703,86920,84382,80621,80339,51780,49048,39800,33948,26612,21095,		
  
