报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,
货币资金(万元),120169,119930,112925,77295,66181,100777,79183,90116,112449,162251,149346,67711,106403,79425,36177,76297,80056,92564,132350,73210,89405,140172,169448,150605,103638,126713,136119,132681,108148,171197,33088,87917,108148,102846,74169,83994,93906,114853,100846,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,
交易性金融资产(万元),3178,4774,11576,10900,13292,17563,14835,8374,8451,--,2,--,--,19644,5796,3279,9112,8404,29895,116124,32460,97477,36967,22252,66298,27315,255163,233102,127600,3250,90492,58000,10000,0,1318,183,183,1015,22281,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,
应收票据(万元),--,--,--,--,--,5,5,15,25,10,8,--,--,--,10,--,--,--,--,--,--,--,30,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,253,
应收账款(万元),48811,25554,17257,25310,23309,21762,14385,25862,20943,18841,18076,5957,7339,1514,5835,3567,4745,7414,6375,8521,16710,11443,9257,7645,12223,10661,12068,10152,12925,11536,197,11219,13540,15837,12489,9609,10285,15010,13164,
预付款项(万元),16753,14512,14212,19498,18502,16477,10697,8070,11304,19263,9223,13300,8225,21319,12079,36547,8841,17399,38616,36557,23962,11859,21398,40250,53047,52083,58801,43575,36877,73950,6124,8215,11954,17233,19681,16301,12665,20054,38605,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,7,--,--,--,--,--,--,--,--,202,126,50,--,-2,--,--,--,--,--,0,--,0,0,0,0,-0,0,0,0,
应收股利(万元),118,--,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,665,--,--,--,--,503,--,--,--,0,--,0,0,0,0,0,0,0,0,
其他应收款(万元),72487,66170,55355,50629,48484,29389,29332,25625,19253,20435,17646,28309,27077,22741,25066,28334,40993,47340,43504,36637,24602,140921,24876,105672,94852,119591,93562,66251,67717,49813,128442,28651,31295,35483,22270,29485,26670,21104,45484,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,
