报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),94301,108136,74315,73686,73101,77433,61153,65407,66739,47894,41482,29615,29652,37129,37775,37934,40177,41796,36793,35851,35720,50350,43117,43817,46918,48101,37698,46947,47047,46656,43522,40208,11832,10830,9654,6388,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),37,233,346,269,55,--,10,245,227,--,510,510,302,365,345,273,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,38,0,0,441,
应收账款(万元),14135,14102,14562,13707,12520,13680,15630,14618,11906,12572,13920,15041,12205,10032,12661,10953,10274,11568,12172,16488,13627,13916,13704,10752,5064,4344,6710,1705,2271,4037,4529,3689,2800,2396,2233,1873,
预付款项(万元),11741,12242,10188,6128,7321,8417,4466,4446,4990,5538,6154,4056,2841,2798,2157,1942,2885,4700,3942,3377,2530,1692,2615,1928,3022,4985,1779,1972,1706,4142,2565,2466,1446,1485,539,1627,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),236,591,339,268,174,394,253,241,120,193,159,116,66,238,178,118,77,256,188,176,12,475,37,90,150,123,223,12,--,--,--,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),3612,2769,3655,3187,3155,1660,3002,2790,2361,2193,2861,3259,3310,2889,2772,2749,3792,3745,9830,16502,19457,5736,7129,8643,7174,6110,12289,5085,4625,4509,6405,8867,3413,2359,3208,2857,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),42251,35965,21239,20718,19877,17811,14052,12486,14505,14223,7070,6771,7355,6773,6140,8123,9313,7299,6536,5411,3983,4224,3495,5302,9491,10544,5513,8388,11395,7585,6064,5684,6484,5150,4686,4967,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,25335,--,11568,11568,11568,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他流动资产(万元),1408,321,219,236,437,58,221,98,561,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
流动资产合计(万元),167721,174358,124863,118199,116640,119452,98788,100329,101409,107948,72156,70936,67298,71792,62027,62092,66519,69364,69462,77805,75330,76394,70098,70533,71820,74207,64214,64108,67044,66930,63084,60914,26013,22220,20320,18153,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,24937,25452,23993,23367,32961,30284,26322,18695,16259,8356,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
