报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),32874,38828,43558,188068,160874,170300,188971,52355,13574,27018,29056,56459,34483,44107,58635,75688,25798,33744,35920,42232,30381,29624,31272,38945,26134,26321,28377,36822,24256,26180,25840,35493,23835,19766,21167,26401,21920,20585,23465,28100,22563,4291,11738,7470,6381,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
应收票据(万元),9219,8958,15379,19907,2035,3250,8859,19328,1701,549,111,408,809,724,2084,2392,2068,382,296,1205,70,241,186,57,349,159,80,1019,29,40,--,12,26,50,235,339,8,121,--,--,--,0,0,0,--,
应收账款(万元),200297,186259,158683,161609,149896,134220,104106,108787,120070,99033,90712,85479,73942,67520,53840,59994,34110,33295,24988,25091,26142,24052,19701,20924,24938,22976,19408,18615,24462,19126,15477,12894,17620,14311,10861,10991,14242,10673,9652,10287,11694,11962,8259,8081,7416,
预付款项(万元),12095,7100,16260,6849,7956,7064,7252,5541,6311,5087,6426,5952,10842,4292,3968,2451,982,1117,366,1400,647,1031,1487,907,1165,1162,1239,1170,6866,9666,9904,7314,4730,4232,4399,3804,777,448,172,514,559,424,343,79,105,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
应收利息(万元),--,818,1030,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
其他应收款(万元),8062,6245,6187,6680,7758,5807,5921,5902,5625,6265,5362,5410,4730,4274,3581,3818,2307,2185,1800,1653,1655,1675,1594,1389,1845,1710,1809,1713,1863,1876,1541,1221,1284,1109,1164,844,1049,1047,1185,1047,783,861,687,1744,781,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
