报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2007-06-30,2006-12-31,
货币资金(万元),340364,280115,431558,450564,323536,396134,348980,348787,265949,320280,238595,274815,329404,375208,401673,333419,284473,193043,234969,239821,212270,189833,184861,248546,132014,178894,194714,199363,259883,128372,200840,175625,193434,180576,108642,141967,114882,97329,64087,53942,41722,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,--,
交易性金融资产(万元),--,--,--,--,1,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,100,100,--,5527,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,--,
应收账款(万元),19202,20525,47911,41787,46394,66912,45289,39278,23883,36972,21445,30027,24508,56198,19367,77756,27614,39848,52936,52037,7073,11361,8914,9201,6348,7781,40993,26147,1891,1664,1538,1635,376,445,245,254,984,369,1000,823,852,
预付款项(万元),30915,23251,40750,31503,29335,23289,42532,33139,97533,92500,107284,101060,103681,76270,105908,103373,105033,76982,20091,9528,87789,1399,52015,54542,63509,50057,57237,44501,56351,41839,41411,37748,47897,40203,18877,1150,11225,10000,11189,2608,14217,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,--,
应收利息(万元),1495,1453,1237,1233,1231,1238,1021,1728,1761,1741,1263,1258,1255,1269,740,733,730,750,478,468,49,99,24,17,14,40,30,19,12,20,15,1081,22,14,13,8,0,--,0,0,--,
应收股利(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,--,
其他应收款(万元),21521,22662,64694,64120,73234,60945,70943,75396,68024,61924,70417,62723,59540,43586,24514,24363,21613,18318,28512,22053,23701,26549,22549,15733,24773,19203,15973,15264,14079,5585,8908,4794,4410,3568,4090,5044,1757,2855,5132,16909,3917,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,--,
