报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),106746,124243,101005,111538,179400,116007,76657,88398,75283,85773,83279,106696,98982,102775,81134,84816,92824,94689,99651,104913,91068,102781,118869,114655,24466,25200,23454,17865,23036,22418,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,167,155,144,145,155,150,225,204,205,200,185,175,201,208,205,262,375,328,339,366,359,418,451,629,302,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),9647,8637,8502,8145,5021,4383,5266,4322,4275,3732,4518,5782,5819,7890,5459,4360,3731,5405,3981,3704,2303,3178,2067,2025,2139,2292,3765,5241,69,179,
应收账款(万元),70159,69464,61907,60399,56084,49335,58090,78370,68454,70887,65553,61137,58092,47146,43273,29222,22006,17958,14912,14938,16569,20739,30406,28808,26845,18026,15244,15804,12051,7706,
预付款项(万元),6385,4925,7599,7123,6178,5863,6929,6875,8173,7293,8356,6332,7509,6297,25095,14667,11645,10266,12393,10459,10585,16469,14898,13850,13349,14766,8594,6688,10929,10026,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,108,92,75,61,87,937,841,736,876,654,604,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),28382,29610,30041,32062,23868,25074,50711,13527,17335,11152,12670,7854,6956,8518,7654,5290,5099,5336,7484,7047,5565,4396,4282,3871,4350,4173,4867,6912,8002,6622,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
