报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),41503,55486,65573,48678,108572,71166,75743,73285,95928,74877,74397,72398,68994,82080,72443,66887,66144,61988,78801,85387,99365,108797,98602,129250,79435,80954,75495,83934,95325,98558,119076,145628,171526,33037,46260,24784,16219,10439,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,108,91,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收票据(万元),283,808,1277,686,943,961,409,259,126,174,224,334,208,531,3055,4804,7223,4535,5235,3555,6512,5805,5675,2230,3691,4139,2514,4191,4957,5855,725,883,100,1400,1415,0,20,120,
应收账款(万元),73824,70768,56603,56865,59872,58026,52346,52547,54032,50511,48477,45242,43606,39453,32301,32406,33891,28642,25603,25871,33529,31529,29082,25795,27190,22582,22654,19333,20343,20113,16406,20824,23551,29059,20132,22124,26656,16623,
预付款项(万元),5292,6211,9889,4692,4695,4138,3377,4815,4721,2496,1178,3763,1759,2702,4844,1983,2648,5025,4224,3735,1910,7308,4732,6081,7030,22827,17445,21363,10487,15993,19784,8147,4516,9345,5265,1779,4188,3495,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),--,1516,1412,1030,819,1024,886,1163,706,1070,790,825,770,924,823,887,758,1210,924,1295,747,1435,1417,1387,485,2554,1877,1534,651,4830,2010,2475,1824,2006,1493,897,1873,3996,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
存货(万元),85756,98601,105085,86576,54694,57602,65569,62589,42119,55505,70723,76961,72879,63876,55450,52778,63096,64767,65267,59081,60201,57607,69958,72662,57861,44985,49673,48296,50911,53513,52713,42615,41193,29790,26517,26673,27948,22451,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,0,1,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,
其他流动资产(万元),8141,11909,13235,27863,71823,37140,14044,8699,9771,5516,6658,7406,15310,8378,29618,26614,23879,23158,13864,15543,14451,10008,9755,11168,7735,--,0,--,--,--,--,--,--,28,0,0,0,0,
流动资产合计(万元),215687,245299,253074,226390,301417,230056,212373,203358,207404,190150,202448,206928,203527,197943,198534,186359,197638,189326,193917,194467,216716,222490,219222,248572,183428,178040,169658,178650,182674,198862,210713,220571,242710,104666,101082,76257,77011,57214,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
