报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),69532,85282,186063,111044,57505,57439,70368,79994,52591,66460,39281,45977,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),45,20,58,81,111,181,10,20,--,114,223,215,
应收账款(万元),42165,27522,27201,37578,33370,22592,37313,27752,16654,23041,17615,14447,
预付款项(万元),43502,37909,32244,27289,38048,23859,24412,17809,20468,15460,16302,7942,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),63,8,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),10816,10527,10821,10127,11516,10944,9325,7607,7786,7594,7379,8283,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),196146,153733,141407,162109,185973,150096,150875,106280,81922,86774,74485,66416,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),2757,3117,2076,2047,436,472,1069,2431,1034,1338,1316,505,
其他流动资产(万元),74268,59181,1028,1968,1372,4900,6599,4643,1687,848,363,1268,
流动资产合计(万元),442479,377299,400898,352243,328332,270485,299972,246537,182141,201628,156965,145053,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),2945,3000,3107,3107,3100,3205,3299,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,1078,1094,1115,1133,1152,1192,1464,1156,1191,1262,1254,
固定资产原值(万元),--,66556,--,65889,--,64497,63539,56595,35856,16653,14955,12578,
累计折旧(万元),--,24030,--,21253,--,18430,15537,10151,8562,7430,5873,4601,
固定资产净值(万元),--,42526,--,44636,--,46067,48002,46444,27294,9223,9082,7976,
固定资产减值准备(万元),--,32,--,32,--,32,32,32,32,32,33,34,
固定资产(万元),40652,42495,43408,44605,45125,46036,47970,46412,27262,9191,9049,7942,
在建工程(万元),12856,10991,8369,5266,3472,2966,2201,1659,16111,20037,3290,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),19446,20949,21141,21229,21053,21373,21570,21910,20530,20444,6868,1856,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),11,11,11,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),11004,11557,14400,16484,16561,16275,13365,9393,14766,14438,10700,5311,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),32199,29164,27920,27230,24803,19691,19026,14490,11492,11410,7924,4357,
其他非流动资产(万元),721,848,1076,1243,2090,1598,1719,134,1070,2190,6622,--,
非流动资产合计(万元),119834,120094,120526,120278,117337,112298,110342,95463,92386,78901,45714,20720,
资产总计(万元),562312,497393,521424,472521,445669,382783,410313,342000,274527,280529,202679,165772,
短期借款(万元),4000,4000,4000,34000,38000,38000,12000,--,14200,10200,11200,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,1000,1000,5000,4500,--,--,3270,3600,2150,898,
应付账款(万元),136014,101456,97197,121181,123051,79313,107957,84627,59074,70418,54051,43768,
预收账款(万元),18047,24466,20483,18658,16250,21790,13639,20038,28201,22498,16320,12422,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),16154,13254,10991,20852,14403,9739,21301,19102,8454,13222,9424,6391,
应交税费(万元),15085,4563,10388,15484,10878,2660,14856,15712,3450,14201,6115,4498,
应付利息(万元),37,37,37,72,85,85,50,50,67,19,22,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
