报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),74904,80823,94909,24442,39257,15824,43121,12521,7435,10447,32931,17937,65463,32157,33456,11824,16838,24640,27839,33694,27077,46179,55108,82940,58425,76232,70012,80130,169089,5027,11015,3565,3232,8040,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
交易性金融资产(万元),1000,--,--,--,--,--,--,--,--,--,5000,--,85000,--,3000,4000,5000,--,--,--,8500,--,8900,--,--,--,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
应收票据(万元),26462,23077,20774,8242,11786,5151,6120,6276,11701,3880,2411,6059,6698,6725,10307,10992,1697,3575,13467,1590,17299,18196,9329,1885,5928,6133,7110,13540,1303,673,1155,1558,101,1785,
应收账款(万元),6971,9605,15116,14919,14880,17400,28549,27135,29062,30776,27757,28201,25189,20553,23910,20982,22958,15024,14041,20585,13519,6839,13243,8692,6461,5322,10684,9792,5665,2880,4713,2431,3559,4255,
预付款项(万元),17104,17545,22640,20582,12554,15671,12785,9448,6151,6753,28756,27588,7573,8325,9412,6367,5873,3981,9696,8274,7779,6616,7465,7561,12199,10186,27958,18255,9443,7859,8215,6387,5610,9734,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,320,139,--,--,72,72,--,--,--,700,--,--,--,--,--,--,--,--,--,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,377,377,377,1277,1277,1277,1277,3277,2497,2377,2377,377,377,377,377,377,451,377,377,--,--,--,--,0,0,0,0,
其他应收款(万元),3119,2895,3702,2398,2655,3435,2925,4904,4689,1971,7963,4047,18505,6752,1384,1099,634,877,2929,2556,1359,1103,4638,1812,2819,1687,2091,1784,1620,1658,908,3881,198,1861,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
存货(万元),90303,108617,105857,101900,83267,94328,53297,52125,53609,72628,75769,68858,72510,82571,86455,84469,89425,97479,72080,74883,54981,62048,68477,68659,53424,67346,59178,64183,42887,54594,36539,31055,16961,14322,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
