报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),76161,30070,52976,40250,45055,25878,23245,18003,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,5,23,--,--,
应收账款(万元),112513,104270,80160,59507,62554,42400,33424,23278,
预付款项(万元),800,548,303,333,639,423,493,755,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),4293,5292,4418,4090,2971,2034,1701,871,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),11196,9006,8106,6725,6246,5118,6167,3937,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),2391,2486,1982,1433,1215,917,702,396,
流动资产合计(万元),207354,151672,147945,112338,118685,76793,65732,47239,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1329,1329,1010,10,10,10,10,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),535,536,226,318,370,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,
固定资产原值(万元),--,137754,113842,86467,--,35686,--,--,
累计折旧(万元),--,41970,34840,23220,--,17405,--,--,
固定资产净值(万元),--,95784,79002,63246,--,18282,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),98137,95784,79002,63246,25966,18282,14492,10589,
在建工程(万元),10589,9563,15908,15649,42609,1197,220,18,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,1,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),8595,8720,5640,269,287,199,273,350,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),1500,1500,1500,1500,1500,1335,807,582,
长期待摊费用(万元),10368,10128,8255,3819,3353,3328,3055,2331,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),897,931,1573,1641,1983,2884,1475,1785,
其他非流动资产(万元),3917,3568,5696,1450,1665,35196,--,--,
非流动资产合计(万元),135867,132060,118810,87903,77744,62430,20332,15656,
资产总计(万元),343221,283732,266755,200242,196428,139224,86064,62895,
短期借款(万元),10000,14455,23455,17410,14500,20000,22980,14480,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,
应付账款(万元),79518,74772,57530,45369,43660,28464,23667,18616,
预收账款(万元),1712,1734,1614,1286,775,345,583,109,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),10033,8641,11773,8737,7303,6570,4853,3484,
应交税费(万元),2484,2494,1501,1634,1505,1171,796,578,
应付利息(万元),88,125,109,401,383,349,281,239,
应付股利(万元),3058,3058,1763,907,914,2196,29,158,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),5234,3397,3809,3026,6314,18139,5134,3166,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
