报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),3743,4361,7584,4575,4041,1939,9540,13940,7488,12883,8131,6509,6751,10025,4562,8623,7105,2416,802,4722,6631,3957,3359,3453,22019,42229,43364,49587,46671,52805,50918,48537,48727,55198,54218,57131,59075,4436,572,5785,663,2870,1345,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
交易性金融资产(万元),14839,7852,8094,9351,11546,11676,11715,20446,21036,19395,21917,15708,111,75,2972,6246,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
应收票据(万元),1266,451,698,859,1227,1820,1222,2180,2140,800,1137,2880,2538,680,65,472,275,3460,305,725,754,400,--,240,559,2100,--,1290,1245,1109,1559,1025,405,805,58,328,--,50,30,630,400,--,--,
应收账款(万元),30991,34230,34724,29276,28139,28376,21901,17189,21564,26345,24711,27147,23731,27025,22862,21518,17936,23054,13621,12341,8752,10392,17854,20291,15078,19767,16868,15669,17131,14848,9185,11353,11211,8890,6060,6920,3784,4233,5263,2678,3451,2812,672,
预付款项(万元),610,204,307,648,819,1286,665,732,301,381,1121,490,839,208,99,116,3144,824,368,330,318,168,342,463,1328,268,3548,3873,4544,1862,8362,7659,6380,5832,4945,428,524,346,479,677,487,1262,572,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
应收利息(万元),--,--,--,49,98,175,49,49,49,49,--,--,--,--,302,302,50,1720,1027,708,594,478,296,386,80,341,249,405,197,197,214,496,--,439,251,418,--,0,0,0,0,--,--,
应收股利(万元),--,2000,--,--,2000,2000,--,--,2000,2000,--,--,--,1400,--,--,--,1400,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
其他应收款(万元),--,977,1919,2413,3126,1797,3118,3526,5845,4203,19709,19365,21537,20692,12640,5569,3849,1443,470,481,183,254,486,580,709,378,893,875,958,618,277,1318,1264,93,395,499,160,171,400,439,227,190,1373,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,0,--,--,
