报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),126208,178774,307952,175145,171641,135475,158142,245663,517616,194594,494378,470780,705434,548775,654757,434695,523338,601863,857156,785485,862278,878922,1008508,765877,769127,564171,777638,709780,678206,605380,633035,688398,567691,466524,525549,467642,238291,198383,103211,61028,33004,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21000,21000,--,--,--,150000,235000,287000,292000,126000,66000,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收票据(万元),11759,18859,24230,21281,20084,9381,18212,15162,6266,3387,8967,8329,7982,7521,6211,7686,11060,8164,49419,11972,33100,11004,8467,5267,9954,5129,62304,139450,62725,8519,23343,12608,28071,5257,372,467,966,3271,284,1782,240,
应收账款(万元),856,743,1010,849,1037,951,2292,1082,1019,814,580,646,1151,659,1089,927,2077,4185,2083,2175,2269,5651,4943,5531,6188,4868,5964,3641,4293,4396,3821,3182,5472,6184,1065,2667,487,460,404,435,539,
预付款项(万元),10238,14100,16356,8666,7080,8629,8993,6932,14869,21051,11626,8004,8246,9916,11633,9805,31592,14092,38318,15277,33798,18834,31599,29158,100965,87325,57667,57069,21168,27186,137864,10038,23782,12741,36332,14017,225,3785,3262,2608,1236,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他应收款(万元),7120,6050,6998,5708,11163,12307,12301,11054,12922,13339,12871,11703,12954,11703,12624,11791,4332,7421,8845,7967,4593,4154,5714,3919,6064,6070,6228,3880,6104,5657,4860,5594,6180,4965,2435,1585,1663,1145,847,1055,7240,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
存货(万元),1278485,1247114,1201641,1286150,1180946,1160444,1127366,1222152,1074437,1062896,1031508,1112238,998209,984874,968080,1009702,905388,906733,843898,877925,711213,672218,600407,592315,444670,395224,335787,379337,246174,209655,169943,187062,135863,136455,84113,91405,56150,51733,59497,45008,31459,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
一年内到期的非流动资产(万元),--,--,55220,55220,60220,64110,23890,23890,8890,24800,35500,35500,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
其他流动资产(万元),1533716,1104416,1288563,1299638,1074621,829018,1168326,1006524,570078,619590,686700,498390,144800,174900,163560,144525,261050,38790,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
流动资产合计(万元),2968382,2570055,2901970,2852658,2526792,2220315,2519522,2532457,2206098,1940472,2282130,2145589,1878776,1738347,1817954,1619131,1738837,1581248,1820720,1721800,1647250,1590782,1659638,1552066,1571968,1349788,1537587,1419158,1084670,860791,972865,906881,767059,632126,649866,577782,297782,258776,167505,111917,73718,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
可供出售金融资产(万元),426897,433040,408681,346028,202055,162034,149242,145807,112266,117512,119535,115869,136936,134719,117852,112512,100462,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期股权投资(万元),860,511,513,198,1965,1961,2141,2103,2232,2245,4319,4642,2293,2293,2316,1982,2000,99563,97018,97018,67113,60761,65286,62735,62735,60235,60235,51866,31827,26986,6644,1394,1394,1195,680,680,680,680,775,881,274,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产原值(万元),--,1125570,--,1114872,--,1032341,--,1022166,--,913397,--,860095,--,784586,--,747487,--,693074,--,602631,--,411202,--,357516,--,223494,--,185449,--,120802,--,108074,--,92053,--,58519,0,37288,30414,--,--,
累计折旧(万元),--,324820,--,289916,--,256395,--,225163,--,190295,--,163203,--,135971,--,111264,--,88378,--,68096,--,57894,--,45255,--,35496,--,28959,--,24088,--,20036,--,16753,--,9183,0,7872,6808,--,--,
固定资产净值(万元),--,800750,--,824956,--,775946,--,797004,--,723102,--,696891,--,648615,--,636224,--,604696,--,534535,--,353308,--,312261,--,187997,--,156489,--,96714,--,88039,--,75300,--,49336,0,29416,23606,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
固定资产(万元),784943,800750,815032,824956,784142,775946,784580,797004,738449,723102,695412,696891,655222,648615,640255,636224,610044,604696,566302,534535,357713,353308,318197,312261,235052,187997,182182,156489,101184,96714,93909,88039,77245,75300,49489,49336,29546,29416,23606,19027,19161,
在建工程(万元),27979,24898,24053,23443,64360,58815,56444,54467,124692,124810,163916,152606,200961,209042,218484,200222,213247,200914,236723,206456,337664,301962,284049,192063,175427,147588,112785,100536,136520,100640,70463,37752,22703,17462,9771,5695,21047,16523,11281,2554,963,
