报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),36657500,34149300,37671100,36331600,35370300,35470200,34553000,36059700,38162000,35701700,38900300,36935300,32673500,35107400,34452300,34790500,35418500,35026600,34039400,33222200,31264300,32543200,31170800,30690500,28547800,27726272,26993383,25232876,22866575,21721590,21294493,19635391,18574469,16047460,14276401,13737218,10028446,12063858,5789452,5314956,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,0,
拆出资金(万元),9668500,13752100,15180000,14222600,14881600,8349700,14408600,15709700,12630500,13480500,12029300,11755800,13236100,11349500,7537000,7324300,13273300,14914900,19617600,15656100,12429100,11960400,13706000,14247800,13597900,12791061,11039211,11486182,8174562,4082647,4722429,5204267,2383309,3937041,2516055,906131,1955248,1264658,1312785,632517,
交易性金融资产(万元),22273700,24565900,25897000,26805000,2419600,2196500,2080400,1696800,783400,1213200,1324900,1296200,563700,860400,990100,590800,437700,1038100,906100,1053600,1249000,2990700,3177900,2808900,2945300,3263971,3667954,8078003,2272663,1460968,2254908,1999707,2239712,2913549,2063897,1040147,1266817,750861,120563,668804,
衍生金融资产(万元),1521200,1497000,1019500,685400,451300,450800,214200,309000,495000,115500,199800,151300,162500,134700,103600,86900,108200,103200,118800,180000,187000,141000,156000,135400,167700,206313,210161,166007,226179,212254,252085,260065,302504,267402,245814,258458,375883,161925,3140,8260,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,0,
应收账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,0,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,0,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,
应收利息(万元),--,3206900,2950600,2835400,2857600,2831000,2702800,2847200,2533900,2311900,2036500,1984400,1854600,1911100,1679900,1560000,1462100,1593800,1554000,1470400,1307400,1357200,1373500,1242100,1014000,922565,847276,854354,609991,578689,499059,514887,413863,424253,377525,334133,340342,269145,194449,208210,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,0,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,0,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,
买入返售金融资产(万元),3777300,3297100,6245400,9987700,9144100,8669500,9724300,4939800,6700000,6269300,5226600,14986900,15304500,14172200,21489000,30739300,28668200,13806200,18513300,15716200,16918200,22364300,18138400,22534900,23072600,28601711,34938064,36960957,20694091,19568105,22518729,29272290,17003700,20247830,23425132,12129510,4958239,5265497,3810785,2669826,
存货(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,0,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,
