报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),84307,91979,54790,53670,82445,97524,75516,79091,39306,61862,24510,34603,46961,64713,27435,27797,33817,47245,31184,29343,33124,43730,32151,35658,43666,49828,41574,45524,3897,5871,2156,2692,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,3878,3878,3878,3878,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),72327,69455,94640,89052,84054,82478,81600,64128,60432,58532,78394,66539,52992,60516,55354,47827,38926,36465,18449,20986,14996,19158,11599,11725,6919,6178,5854,6463,3519,3300,4112,2375,
预付款项(万元),2587,11252,4766,4044,4574,1144,2373,1205,3128,338,3466,2937,2362,2299,5463,4380,1726,1283,6584,3313,2444,2094,6373,5792,1853,886,1593,1584,368,204,238,508,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),729,422,151,685,518,328,42,135,213,121,80,88,123,42,31,77,157,83,62,77,90,81,45,92,89,323,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),4711,2187,5190,2471,2505,968,2328,1863,2664,1078,2446,1971,2215,668,1420,1237,1439,515,1094,1192,1338,449,1018,1307,1329,526,891,947,736,580,519,1143,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),21911,20476,25598,25855,22027,18551,20350,24178,22212,20178,17500,18795,19039,19679,21547,14902,16530,15273,24195,20660,19381,10251,13743,9906,8207,6647,8474,5651,4952,4033,4400,3040,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),816,736,1170,4042,4516,3430,788,1816,3386,588,1505,2319,1817,519,1847,1895,2210,1171,438,1499,1490,242,60,59,7,37,34,46,10,29,20,18,
流动资产合计(万元),187388,196508,190183,183698,204517,208301,182997,172415,131342,142697,127900,127252,125509,148438,113097,98115,94805,102035,82006,77069,72864,76004,64988,64540,62070,64426,58419,60214,13483,14016,11445,9776,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
