报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),49212,41643,54992,55108,34578,31588,36112,44163,29535,27151,27183,22730,24934,21689,43759,36387,41554,61366,83147,86525,131488,181615,178209,173287,183594,171908,191723,175205,173959,166029,163865,47742,40293,46099,28808,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,228,250,269,260,218,205,197,117,112,254,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),16911,12101,13999,9667,10003,5326,6522,4921,7483,2314,9655,6298,7426,3202,3919,6163,4725,5219,7359,7510,12084,9480,15848,16702,15848,10125,4121,4331,4921,3569,5492,3707,3111,1160,3900,
应收账款(万元),118200,123168,111885,107890,96865,83359,81235,86689,86779,80067,82651,76732,75584,72670,89680,82900,74286,65654,84167,81670,78085,75211,84656,79299,65980,64527,77446,86803,76852,72211,76102,72646,63233,50808,63585,
预付款项(万元),1029,1122,794,1441,1261,1338,1550,1565,1578,1068,985,2239,603,745,3959,405,691,807,1288,1275,380,665,2435,1062,479,579,1046,1008,792,711,515,434,593,359,515,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收利息(万元),82,149,10,--,3,62,16,13,13,1,--,54,90,103,4,95,69,176,89,427,--,1522,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应收款(万元),7034,6998,673,959,1204,3991,12785,22906,11409,22444,23466,54092,49127,41875,40877,48542,44124,33056,29323,66154,62034,14175,17531,5317,2079,2360,2656,3225,2513,2514,1673,2056,1340,1971,2186,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
存货(万元),81690,74202,76277,74562,76310,69172,56999,51060,56817,54511,49866,40483,49149,45468,44667,46490,43576,37189,29185,27220,26081,24820,24929,27125,27139,27742,28400,24307,24761,21357,25417,23253,22120,20429,42367,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动资产(万元),23450,35603,22133,7698,12326,29253,11790,6963,5063,12394,6882,29085,26138,42299,11655,12667,24686,28854,8000,8899,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
流动资产合计(万元),297607,294985,280991,257575,232817,224350,207227,218486,198874,200067,200801,231966,233051,228051,238520,233650,233713,232321,242559,279679,310151,307488,323608,302791,295120,277240,305391,294879,283798,266391,273066,149838,130688,120826,141363,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
可供出售金融资产(万元),1645,1389,1244,13110,2741,2235,2305,2321,2695,2643,2243,2770,2992,2632,2896,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期股权投资(万元),13864,13214,13066,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
投资性房地产(万元),450,460,938,958,977,996,1015,1034,1053,1072,1092,1111,841,1149,1168,1187,1226,1226,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产原值(万元),--,453626,--,435615,--,423244,--,468279,--,462560,--,435430,--,420157,--,361896,--,305421,--,265319,--,264462,--,262630,--,254065,--,233410,--,231139,--,0,223808,216945,206130,
累计折旧(万元),--,194514,--,180181,--,166135,--,190346,--,188564,--,175929,--,167652,--,165369,--,167797,--,166685,--,161451,--,155654,--,147612,--,141659,--,136900,--,0,124290,112024,98178,
固定资产净值(万元),--,259112,--,255434,--,257110,--,277933,--,273996,--,259501,--,252505,--,196527,--,137624,--,98634,--,103011,--,106976,--,106453,--,91751,--,94239,--,0,99518,104921,107952,
固定资产减值准备(万元),--,2506,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产(万元),252657,256606,254719,255434,254312,257110,278400,277933,276947,273996,266027,259501,259173,252505,211956,196527,155364,137624,95748,98634,100009,103011,103873,106976,106212,106453,96014,91751,92792,94239,94283,96434,99518,104921,107952,
在建工程(万元),14575,14003,17582,20599,24891,27643,24592,28504,31981,37400,38903,39964,38366,34968,66476,68891,90632,87896,100790,70117,51648,41432,34795,31013,30507,29795,34268,37500,33634,30055,18761,11311,6539,8986,14003,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
无形资产(万元),11640,11783,11866,12012,12162,12045,20131,20293,20204,20349,20267,20401,20451,20517,19801,17884,18195,18191,18524,18640,15807,11241,7858,7912,7720,8043,7314,7377,7449,7451,7427,7493,7617,7757,2733,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期待摊费用(万元),73,87,104,121,17,22,19,22,53,54,128,112,140,169,198,10,13,16,3,4,7,11,11,20,29,37,32,40,49,58,66,75,107,0,1,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
递延所得税资产(万元),4932,5146,4245,6907,6592,6467,7430,7759,8636,7975,7599,6629,6313,4706,2379,2787,2698,2698,1249,1170,1538,1538,2220,2220,2172,2172,2390,2390,2869,2869,3341,3370,3579,3034,3075,
其他非流动资产(万元),1531,1557,2119,2186,1492,1492,--,--,--,--,--,--,--,--,--,--,--,745,--,--,--,3820,--,--,--,--,--,--,--,--,--,0,0,0,0,
非流动资产合计(万元),301367,304245,305882,311327,303183,308010,333892,337866,341569,343490,336259,330487,328277,316645,304874,287287,268127,248395,216315,188565,169008,161053,148757,148140,146640,146501,140018,139058,136793,134671,123877,118683,117360,124698,127764,
