报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),35307,52398,35248,103628,30338,26228,39511,126314,34914,50915,51482,51981,26597,19748,50861,47576,32676,60526,83710,72893,54172,79104,101006,107386,114849,132758,139430,129778,156030,161965,6878,8788,10316,11276,23435,13707,6982,6301,15049,16696,
结算备付金(万元),--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,0,--,0,--,
拆出资金(万元),--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,0,--,0,--,
交易性金融资产(万元),--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,0,--,0,77,
衍生金融资产(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,
应收票据(万元),29140,49361,26306,32671,18013,20979,13586,12329,15291,12938,14152,16698,5376,6219,1260,2120,2048,1341,2232,14,1315,1700,312,1170,1250,2550,1400,1000,210,639,140,39,--,380,0,--,146,1464,2300,--,
应收账款(万元),272001,267973,333474,296139,282329,274878,263307,224580,154982,122695,116214,107020,90379,73410,59153,44390,45654,39595,26648,26554,18788,15597,16379,14376,10728,9279,10621,21308,13675,9772,8444,7746,6064,10501,7832,8871,14970,17765,19697,10274,
预付款项(万元),39419,34637,38393,31108,60267,44102,34314,42798,45510,26335,27542,22332,29576,28530,25258,26489,50111,32836,38060,29668,45903,27790,16885,13135,9178,2909,2025,1725,2869,2128,917,684,2196,1297,1829,275,2255,1161,961,3612,
应收保费(万元),--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,0,--,0,--,
应收分保账款(万元),--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,0,--,0,--,
应收分保合同准备金(万元),--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,0,--,0,--,
应收利息(万元),--,0,--,--,--,0,--,--,--,0,--,--,135,175,163,152,140,177,470,433,335,281,389,382,348,558,371,185,661,690,--,--,--,0,0,--,0,--,0,--,
应收股利(万元),--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,0,--,0,--,
其他应收款(万元),25296,27387,35602,40736,19490,20282,18257,16618,19122,19398,15467,11046,12431,11202,15159,8156,8254,7990,7581,6786,4813,3867,3600,2718,3026,2678,2468,1467,2355,2084,2391,2219,2240,2160,1672,2070,1006,688,997,7201,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,
买入返售金融资产(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,0,--,0,--,
存货(万元),202858,206118,174471,158817,156724,121826,91679,97759,116978,87778,51606,55883,35567,28733,20762,14500,15713,15801,10972,12060,13836,15032,9116,8332,8486,9734,8185,8552,7243,7137,3646,5688,6206,5155,3827,3238,8757,4233,512,9805,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,
一年内到期的非流动资产(万元),0,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,0,--,0,--,
