报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),42123,38048,45431,47283,12402,10150,4396,10085,7844,18485,9691,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),3302,3893,2435,2754,3243,2169,2074,2382,1215,849,215,
预付款项(万元),319,124,191,128,236,98,538,2384,3846,148,44,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,24,24,24,
其他应收款(万元),226,141,130,177,536,714,127,79,49,127,174,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
存货(万元),1906,1469,983,1379,1468,1201,1120,970,1391,984,1561,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),106,227,34,34,0,9,--,4,5,--,--,
流动资产合计(万元),47983,43902,49204,51754,17884,14340,8256,15904,14373,20618,11709,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),375,375,375,375,375,375,560,560,627,95,148,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),171,174,177,180,183,185,191,197,203,214,225,
固定资产原值(万元),--,32387,--,32324,--,30299,20119,--,13079,12304,--,
累计折旧(万元),--,5647,--,4926,--,4510,3912,--,2502,1816,--,
固定资产净值(万元),--,26741,--,27398,--,25790,16207,--,10577,10488,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),26670,26741,27182,27398,26051,25790,16207,10647,10577,10488,9852,
在建工程(万元),6708,7890,7385,7382,8156,6059,14151,14537,11349,1218,151,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),5044,5083,5008,5037,4661,4615,4719,4779,4790,4235,1835,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),77,94,95,102,75,64,2,--,--,--,50,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),163,163,175,175,180,177,143,129,200,188,183,
其他非流动资产(万元),348,510,427,427,407,392,675,826,497,1067,1187,
非流动资产合计(万元),39555,41030,40824,41076,40087,37657,36647,31676,28244,17504,13631,
资产总计(万元),87538,84932,90028,92830,57971,51998,44903,47580,42617,38122,25340,
短期借款(万元),--,--,4000,4000,8000,6727,1500,5000,5000,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),3161,3143,3704,5402,3206,3323,4698,392,441,713,397,
预收账款(万元),1321,1242,1402,1072,3169,1465,561,758,646,366,779,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),811,770,655,1517,891,441,990,467,934,695,817,
应交税费(万元),732,941,584,1311,988,1185,1057,855,554,684,323,
应付利息(万元),--,--,--,--,--,--,--,34,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,4310,2496,10972,4396,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),301,1014,832,807,737,843,784,2695,800,292,561,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,1229,1229,--,--,1000,1000,1000,500,
其他流动负债(万元),--,48,--,31,--,--,--,--,--,--,--,
流动负债合计(万元),6326,7158,11177,15369,16990,13984,9590,15510,11869,14722,7773,
长期借款(万元),--,--,--,--,--,2229,--,--,--,1000,2000,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),34,34,376,376,376,376,376,376,376,34,34,
预计非流动负债(万元),--,--,--,--,--,--,32,32,32,--,--,
长期递延收益(万元),619,627,--,657,747,762,552,529,556,609,651,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,642,--,--,--,--,--,--,--,--,
非流动负债合计(万元),653,661,1018,1033,2352,3367,961,938,964,1643,2685,
负债合计(万元),6979,7818,12195,16403,19342,17351,10551,16447,12833,16365,10457,
实收资本(或股本)(万元),18400,18400,18400,18400,13800,13800,13800,13800,13800,13800,2857,
资本公积(万元),37072,37072,36777,36777,6424,6424,6243,6273,6273,6273,544,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),1834,1691,1591,1343,1445,1392,1236,1538,1509,1175,1253,
盈余公积(万元),2468,2468,2468,2468,1348,1348,1348,688,688,23,1314,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),19272,15893,16985,15822,13980,10050,10048,7187,5894,130,8563,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),79045,75523,76221,74811,36998,33014,32675,29486,28164,21402,14531,
少数股东权益(万元),1515,1591,1612,1617,1631,1633,1678,1646,1619,355,352,
所有者权益(或股东权益)合计(万元),80560,77114,77833,76428,38629,34646,34353,31133,29784,21757,14883,
负债和所有者权益(或股东权益)总计(万元),87538,84932,90028,92830,57971,51998,44903,47580,42617,38122,25340,		
  
