报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),17537,23493,935,4411,3294,2069,4973,6057,7489,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),49,49,47,5,--,--,21,--,27,
应收账款(万元),11788,10771,10139,12067,11716,10343,13156,8841,7321,
预付款项(万元),2429,1785,1571,1011,1125,1433,888,1446,630,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),738,1155,1196,1063,867,888,881,664,754,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),10265,10359,9051,6520,6824,8425,8777,9389,7073,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,
其他流动资产(万元),11,261,147,16,124,271,1657,1210,145,
流动资产合计(万元),42817,47873,23086,25093,23951,23430,30352,27606,23438,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),500,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),283,289,296,303,331,345,111,--,--,
固定资产原值(万元),--,23424,--,17993,17522,--,13604,--,--,
累计折旧(万元),--,5815,--,5198,4099,--,3323,--,--,
固定资产净值(万元),--,17610,--,12796,13423,--,10282,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,
固定资产(万元),17594,17610,17410,12796,13423,9917,10282,6204,4842,
在建工程(万元),664,846,499,4145,635,1760,602,368,1008,
工程物资(万元),--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),5051,5095,5127,5168,4084,4108,4146,3405,2203,
开发支出(万元),--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),119,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),428,379,474,492,416,592,608,323,217,
其他非流动资产(万元),9418,4138,856,943,1199,2609,2213,4566,1623,
非流动资产合计(万元),34056,28357,24662,23847,20088,19329,17961,14867,9892,
资产总计(万元),76873,76230,47749,48940,44039,42759,48313,42472,33331,
短期借款(万元),7800,7800,3500,3000,--,1500,5000,7500,3500,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,350,2350,3197,4157,3480,
应付账款(万元),4010,4624,4353,4373,4572,4672,6224,5384,4071,
预收账款(万元),4288,4240,3651,4247,5670,4093,5066,6926,6144,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),482,525,440,542,781,284,632,676,843,
应交税费(万元),686,201,123,1248,709,617,772,262,357,
应付利息(万元),--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,
其他应付款(万元),512,517,640,686,707,963,687,702,532,
预提费用(万元),--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,
流动负债合计(万元),17777,17908,12707,14095,12789,14479,21577,25606,18927,
长期借款(万元),--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,
长期递延收益(万元),195,195,200,200,100,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),195,195,200,200,100,0,0,0,0,
负债合计(万元),17972,18103,12907,14295,12889,14479,21577,25606,18927,
实收资本(或股本)(万元),7573,7573,5680,5680,5680,5680,5680,5086,3100,
资本公积(万元),24852,25190,4530,4530,4530,4530,4530,140,700,
减:库存股(万元),--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,
盈余公积(万元),2033,2033,2033,2033,1595,1165,1165,742,559,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,
未分配利润(万元),24443,23331,22599,22402,19345,16906,15362,10898,10045,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),58901,58128,34842,34645,31150,28280,26736,16866,14404,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),58901,58128,34842,34645,31150,28280,26736,16866,14404,
负债和所有者权益(或股东权益)总计(万元),76873,76230,47749,48940,44039,42759,48313,42472,33331,		
  
