报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),26354,33576,47035,48981,66583,64753,64956,72932,28083,33579,39039,32667,34530,35708,38655,38659,37870,65561,11175,18065,7283,7056,4643,8661,6916,9337,9512,8659,10022,12854,15888,16981,19921,22282,30827,5281,2940,3210,1915,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
应收票据(万元),7158,8971,5451,3926,5904,5802,3741,4056,4107,4088,2618,3020,4886,4765,2823,3554,2196,2544,2858,4147,2303,2269,2382,2367,2410,3151,2665,1939,1638,3689,1718,2521,1293,1987,1760,1513,1534,1145,25,
应收账款(万元),23590,20723,24881,24129,22297,21005,22530,18502,17448,15527,18818,18958,18952,17967,21206,20034,18162,16101,18828,20573,19351,16201,17816,15524,15946,11608,14670,14651,11583,11307,11569,11245,10882,9006,9544,8415,7048,5984,5406,
预付款项(万元),1235,1842,2715,3374,3104,1228,2330,1805,2061,1202,1976,1624,1317,681,880,719,1765,699,2162,2984,5424,1930,3263,2701,2334,2038,5927,4614,7604,5046,7917,4208,3245,2215,1732,1650,1732,2099,1147,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
应收利息(万元),50,103,125,144,98,110,59,116,73,185,92,220,119,247,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
